statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass6_s4444
active_cells,9346,9346,1,pass6_s4444
cells_per_year_mean,78.2125,23.575,0.301422406904267,pass6_s4444
cells_per_year_median,0,0,,pass6_s4444
cells_per_year_p90,59.8000000000002,8.2,0.137123745819398,pass6_s4444
cells_per_year_max,1328,618,0.465361445783133,pass6_s4444
fraction_years_with_fire,0.3875,0.35,0.903225806451613,pass6_s4444
annual_fraction_burned,0.00836855339182538,0.00252246950567088,0.301422406904267,pass6_s4444
rotation_years,119.494965638485,396.43690349947,3.31760339342524,pass6_s4444
fires_per_year,0.4875,0.525,1.07692307692308,pass6_s4444
fire_size_median,12,1,0.0833333333333333,pass6_s4444
fire_size_p90,621.400000000001,197,0.317026070164145,pass6_s4444
fire_size_max,1283,399,0.310989867498051,pass6_s4444
fraction_fires_gt10,0.512820512820513,0.19047619047619,0.371428571428571,pass6_s4444
fraction_fires_gt100,0.17948717948718,0.142857142857143,0.795918367346937,pass6_s4444
