statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.525,0.788920393751337,pass6_s4444
lightning_fires_per_year,0.245861963738911,0.15,0.610098437834369,pass6_s4444
fire_size_median,1,1,1,pass6_s4444
fire_size_p90,1,197,197,pass6_s4444
fraction_fires_gt10,0.0295566502463054,0.19047619047619,6.44444444444445,pass6_s4444
fraction_fires_gt100,0.0167487684729064,0.142857142857143,8.52941176470588,pass6_s4444
annual_fraction_burned_fpa,0.00255391986643236,0.00252246950567088,0.987685455140995,pass6_s4444
annual_fraction_burned_mtbs,0.003639630975609,0.00252246950567088,0.693056390215166,pass6_s4444
ignition_doy_median,221,241,1.09049773755656,pass6_s4444
ignition_doy_p10,176,193,1.09659090909091,pass6_s4444
ignition_doy_p90,265,276,1.04150943396226,pass6_s4444
fraction_area_high_severity_mtbs,0.418807906637985,0.520795334040297,1.24351839061737,pass6_s4444
