EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 1, 2017, Accidental, 242, 327, 355, eco45, 32.8, 2, 243, Contained, 197, 159.6, 4.94, 16.73, 2791, 16149, 6.7, 0.13, 0.87, 0, 0.53, 0.51, 1080, 2291, 9658, 9260.9, 6613.5, 1639.1, 1008.4, 200, 13849.7, 243, 26.7, 
2, 5, 2017, Lightning, 193, 428, 417, eco106, 0, 1, 193, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.13, 0, 0, 15, 10.6, 17.2, 17.2, 0, 0, 0.4, 25.1, 0, 0, 
3, 8, 2017, Accidental, 180, 327, 427, eco44, 19.6, 3, 182, Contained, 219, 177.4, 6.03, 25.08, 6549, 46361, 34.3, 0.09, 0.84, 0.08, 0.61, 0.57, 1872, 3064, 31806.2, 9467, 5839.8, 0, 3627.1, 167.36, 14793.7, 181, 20.5, 
4, 8, 2017, Lightning, 234, 412, 432, eco16, 32.4, 2, 235, Contained, 399, 323.2, 3.88, 14.3, 3320, 22808, 16.3, 0.12, 0.88, 0, 0.51, 0.5, 2129, 6098, 32768.2, 24334.9, 15009.7, 5199.6, 4125.6, 523.84, 36421.8, 235, 21.7, 
5, 16, 2017, Accidental, 264, 382, 395, eco164, 8.8, 1, 264, InitialAttack, 1, 0.8, 0.5, 0.5, 168, 168, 0.8, 0, 1, 0, 0.02, 0, 0, 23, 6.7, 33.8, 32.5, 0, 1.4, 0.68, 51.5, 0, 0, 
6, 17, 2017, Lightning, 212, 352, 403, eco14, 18, 1, 212, InitialAttack, 5, 4.1, 1.03, 3.17, 1111, 4717, 3.8, 0.6, 0.4, 0, 0.14, 0, 9, 101, 332, 238.7, 207.5, 0, 31.3, 4.77, 363.6, 212, 18, 
7, 17, 2017, Accidental, 221, 346, 333, eco125, 7.6, 1, 221, InitialAttack, 1, 0.8, 0.28, 0.28, 112, 112, 0.7, 0, 1, 0, 0.09, 0, 0, 22, 18.1, 36.6, 33.5, 0, 3.1, 0.77, 55.1, 0, 0, 
8, 17, 2017, Accidental, 260, 347, 332, eco125, 17.4, 1, 260, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16.3, 13.3, 3.1, 0, 0.42, 23.3, 0, 0, 
9, 17, 2017, Accidental, 276, 423, 398, eco16, 6.1, 1, 276, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9.5, 9.5, 0, 0, 0.25, 13.5, 0, 0, 
10, 21, 2017, Accidental, 236, 420, 433, eco100, 8, 1, 236, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.07, 0, 0, 17, 4.7, 14.8, 13.6, 1.2, 0, 0.34, 21.8, 0, 0, 
11, 25, 2017, Accidental, 241, 423, 400, eco164, 14.3, 1, 241, InitialAttack, 3, 2.4, 4.3, 4.69, 3598, 5263, 4, 0, 1, 0, 0.9, 1, 14, 16, 393.1, 128.1, 75, 6.7, 46.3, 2.42, 197.5, 241, 14.3, 
12, 28, 2017, Accidental, 201, 438, 416, eco14, 5.8, 1, 201, InitialAttack, 1, 0.8, 0.93, 0.93, 323, 323, 1.1, 1, 0, 0, 0, 0, 0, 0, 0, 40.8, 40.8, 0, 0, 0.84, 61.8, 0, 0, 
13, 28, 2017, Accidental, 233, 352, 359, eco100, 13.1, 1, 233, InitialAttack, 1, 0.8, 1.3, 1.3, 790, 790, 1.7, 0, 1, 0, 0.47, 0, 1, 19, 85.5, 34.3, 23.6, 0, 10.7, 0.64, 52.9, 0, 0, 
14, 28, 2017, Lightning, 262, 354, 383, eco100, 26.4, 2, 263, Contained, 91, 73.7, 4.5, 22.99, 5622, 46233, 34.3, 0.04, 0.84, 0.12, 0.65, 0.63, 789, 1028, 11979.5, 5463.2, 3424.9, 614.3, 1424, 109.05, 8323.4, 263, 25.2, 
15, 29, 2017, Accidental, 200, 330, 404, eco51, 16.5, 1, 200, InitialAttack, 9, 7.3, 1.5, 3.07, 1556, 3317, 3.2, 0.11, 0.89, 0, 0.51, 0.33, 35, 125, 1019.8, 482.9, 340.2, 8.1, 134.6, 9.3, 741.6, 200, 16.5, 
16, 29, 2017, Accidental, 303, 373, 354, eco100, 0, 1, 303, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.22, 0, 0, 8, 10, 9.8, 9.8, 0, 0, 0.23, 14.4, 0, 0, 
17, 30, 2017, Lightning, 187, 350, 360, eco16, 0.9, 1, 187, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.08, 0, 0, 34, 29.1, 34.6, 34.6, 0, 0, 0.74, 51.9, 0, 0, 
18, 31, 2017, Accidental, 264, 381, 348, eco100, 24.2, 1, 264, InitialAttack, 7, 5.7, 2.24, 4.32, 1382, 2650, 2.9, 0, 1, 0, 0.54, 0.43, 23, 68, 551.1, 295.1, 207.5, 36.5, 51.1, 6.27, 443, 264, 24.2, 
19, 34, 2017, Lightning, 270, 427, 369, eco164, 0, 1, 270, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 15, 19.2, 31.9, 31.9, 0, 0, 0.7, 47.6, 0, 0, 
20, 37, 2017, Accidental, 241, 354, 359, eco100, 12.1, 1, 241, InitialAttack, 1, 0.8, 0.74, 0.74, 152, 152, 0.8, 0, 1, 0, 0.26, 0, 0, 6, 14.1, 16, 12.5, 1.6, 1.9, 0.36, 23.8, 0, 0, 
