statistic,value,label
ignition_attempts_per_year,0.525,pass6_s4444
fires_per_attempt,1,pass6_s4444
days_active_median,1,pass6_s4444
days_active_p90,2,pass6_s4444
days_active_max,3,pass6_s4444
mean_ros_median_m_min,0.74,pass6_s4444
max_ros_p90_m_min,16.73,pass6_s4444
mean_intensity_median_kW_m,168,pass6_s4444
max_intensity_p90_kW_m,22808,pass6_s4444
fraction_cells_passive_crown,0.855694591728526,pass6_s4444
fraction_cells_active_crown,0.0301590668080594,pass6_s4444
canopy_mortality_mean,0.544952279957582,pass6_s4444
cells_per_fire_day_median,1,pass6_s4444
cells_per_fire_day_p90,103.4,pass6_s4444
burn_hours_median,2.2,pass6_s4444
ignition_fwi_median,12.1,pass6_s4444
end_weather,0,pass6_s4444
end_fuel_limited,0,pass6_s4444
end_season_end,0,pass6_s4444
