EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 1, 242, 32.8, 12.2, 123, 99.6, 16.73, 10960, no, 
1, 1, 243, 26.7, 8.9, 74, 159.6, 12.53, 16149, yes, 
2, 5, 193, 0, 0, 1, 0.8, 0, 0, no, 
3, 8, 180, 19.6, 5.1, 50, 40.5, 25.08, 46361, no, 
3, 8, 181, 20.5, 5.6, 169, 177.4, 18.84, 23808, yes, 
4, 8, 234, 32.4, 11.9, 348, 281.9, 14.3, 22808, no, 
4, 8, 235, 21.7, 6.2, 51, 323.2, 4.41, 3832, yes, 
5, 16, 264, 8.8, 0, 1, 0.8, 0, 0, no, 
6, 17, 212, 18, 4.2, 5, 4.1, 0.61, 269, no, 
7, 17, 221, 7.6, 0, 1, 0.8, 0, 0, no, 
8, 17, 260, 17.4, 3.9, 1, 0.8, 0, 0, no, 
9, 17, 276, 6.1, 0, 1, 0.8, 0, 0, no, 
10, 21, 236, 8, 0, 1, 0.8, 0, 0, no, 
11, 25, 241, 14.3, 2.2, 3, 2.4, 4.45, 2995, no, 
12, 28, 201, 5.8, 0, 1, 0.8, 0, 0, no, 
13, 28, 233, 13.1, 1.6, 1, 0.8, 0, 0, no, 
14, 28, 262, 26.4, 8.7, 72, 58.3, 22.99, 46233, no, 
14, 28, 263, 25.2, 8, 19, 73.7, 6.77, 10944, yes, 
15, 29, 200, 16.5, 3.4, 9, 7.3, 2.77, 3317, no, 
16, 29, 303, 0, 0, 1, 0.8, 0, 0, no, 
17, 30, 187, 0.9, 0, 1, 0.8, 0, 0, no, 
18, 31, 264, 24.2, 7.5, 7, 5.7, 4.32, 2650, no, 
19, 34, 270, 0, 0, 1, 0.8, 0, 0, no, 
20, 37, 241, 12.1, 1.1, 1, 0.8, 0, 0, no, 
21, 40, 295, 3, 0, 1, 0.8, 0, 0, no, 
