statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.6,0.901623307144385,pass4_s3333
lightning_fires_per_year,0.245861963738911,0.075,0.305049218917184,pass4_s3333
fire_size_median,1,1,1,pass4_s3333
fire_size_p90,1,215.3,215.3,pass4_s3333
fraction_fires_gt10,0.0295566502463054,0.166666666666667,5.63888888888889,pass4_s3333
fraction_fires_gt100,0.0167487684729064,0.166666666666667,9.95098039215686,pass4_s3333
annual_fraction_burned_fpa,0.00255391986643236,0.0192569013481703,7.54013530388126,pass4_s3333
annual_fraction_burned_mtbs,0.003639630975609,0.0192569013481703,5.29089390578895,pass4_s3333
ignition_doy_median,221,209.5,0.947963800904977,pass4_s3333
ignition_doy_p10,176,43.6,0.247727272727273,pass4_s3333
ignition_doy_p90,265,315.3,1.18981132075472,pass4_s3333
fraction_area_high_severity_mtbs,0.418807906637985,0.341948881789137,0.816481437836645,pass4_s3333
