statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass4_s3333
active_cells,9346,9346,1,pass4_s3333
cells_per_year_mean,78.2125,179.975,2.30110276490331,pass4_s3333
cells_per_year_median,0,0,,pass4_s3333
cells_per_year_p90,59.8000000000002,3.50000000000001,0.0585284280936454,pass4_s3333
cells_per_year_max,1328,3853,2.90135542168675,pass4_s3333
fraction_years_with_fire,0.3875,0.45,1.16129032258065,pass4_s3333
annual_fraction_burned,0.00836855339182538,0.0192569013481703,2.30110276490331,pass4_s3333
rotation_years,119.494965638485,51.9294346437005,0.434574246423114,pass4_s3333
fires_per_year,0.4875,0.6,1.23076923076923,pass4_s3333
fire_size_median,12,1,0.0833333333333333,pass4_s3333
fire_size_p90,621.400000000001,215.3,0.346475700032185,pass4_s3333
fire_size_max,1283,3852,3.00233826968044,pass4_s3333
fraction_fires_gt10,0.512820512820513,0.166666666666667,0.325,pass4_s3333
fraction_fires_gt100,0.17948717948718,0.166666666666667,0.928571428571426,pass4_s3333
