statistic,value,label
ignition_attempts_per_year,0.6,pass4_s3333
fires_per_attempt,1,pass4_s3333
days_active_median,1,pass4_s3333
days_active_p90,8.1,pass4_s3333
days_active_max,22,pass4_s3333
mean_ros_median_m_min,0,pass4_s3333
max_ros_p90_m_min,18.619,pass4_s3333
mean_intensity_median_kW_m,0,pass4_s3333
max_intensity_p90_kW_m,32805.7,pass4_s3333
fraction_cells_passive_crown,0.721359911098764,pass4_s3333
fraction_cells_active_crown,0.0544686762050285,pass4_s3333
canopy_mortality_mean,0.395382692040561,pass4_s3333
cells_per_fire_day_median,23.5,pass4_s3333
cells_per_fire_day_p90,291.1,pass4_s3333
burn_hours_median,6.7,pass4_s3333
ignition_fwi_median,5.15,pass4_s3333
end_weather,0.25,pass4_s3333
end_fuel_limited,0,pass4_s3333
end_season_end,0,pass4_s3333
