SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 242, 16.3, 1, 1, 0, 0, 1, 
1, 243, 19.2, 0, 0, 0, 0, 1, 
1, 244, 13.1, 0, 0, 0, 0, 1, 
1, 245, 13.6, 0, 0, 0, 0, 1, 
1, 246, 12.5, 0, 0, 0, 0, 1, 
1, 247, 19.3, 0, 0, 0, 0, 1, 
1, 248, 22.3, 0, 0, 0, 0, 1, 
1, 249, 20.9, 0, 0, 0, 0, 1, 
1, 250, 30.3, 0, 0, 0, 0, 1, 
1, 251, 43.2, 0, 0, 0, 0, 1, 
1, 252, 33, 0, 0, 0, 0, 1, 
1, 253, 25.1, 0, 0, 0, 0, 1, 
1, 254, 25.8, 0, 0, 0, 0, 1, 
1, 255, 23.7, 0, 0, 0, 0, 1, 
1, 256, 24.3, 0, 0, 0, 0, 1, 
1, 257, 24, 0, 0, 0, 0, 1, 
1, 258, 20.8, 0, 0, 0, 0, 1, 
1, 259, 22.2, 0, 0, 0, 0, 1, 
1, 260, 21.6, 0, 0, 0, 0, 1, 
1, 261, 20, 0, 0, 0, 0, 1, 
1, 262, 0.9, 0, 0, 0, 0, 1, 
2, 186, 5.4, 0, 0, 1, 1, 0, 
4, 180, 0.3, 0, 0, 1, 1, 0, 
4, 230, 4.3, 0, 0, 1, 1, 0, 
4, 248, 21.3, 0, 0, 1, 1, 0, 
5, 351, 1.9, 0, 0, 1, 1, 0, 
6, 22, 0.1, 0, 0, 1, 1, 0, 
7, 97, 0, 0, 0, 1, 1, 0, 
12, 37, 0, 0, 0, 1, 1, 0, 
14, 212, 22.3, 0, 0, 1, 1, 1, 
14, 213, 18.5, 0, 0, 0, 0, 1, 
14, 214, 23, 0, 0, 0, 0, 1, 
14, 215, 21.3, 0, 0, 0, 0, 1, 
14, 216, 10.1, 0, 0, 0, 0, 1, 
14, 230, 15.9, 0, 0, 1, 1, 1, 
14, 231, 17, 0, 0, 0, 0, 1, 
14, 232, 22.4, 0, 0, 0, 0, 1, 
14, 233, 20.5, 0, 0, 0, 0, 1, 
14, 234, 25.7, 0, 0, 0, 0, 1, 
14, 235, 34.1, 0, 0, 0, 0, 1, 
14, 236, 25.7, 0, 0, 0, 0, 1, 
14, 237, 8, 0, 0, 0, 0, 1, 
15, 302, 1.5, 0, 0, 1, 1, 0, 
17, 147, 0.2, 1, 1, 0, 0, 0, 
17, 207, 10.7, 0, 0, 1, 1, 0, 
24, 6, 0, 0, 0, 1, 1, 0, 
25, 321, 0.3, 0, 0, 1, 1, 0, 
27, 157, 14.7, 0, 0, 1, 1, 1, 
27, 158, 13.9, 0, 0, 0, 0, 1, 
27, 159, 15.6, 0, 0, 0, 0, 1, 
27, 160, 4.3, 0, 0, 0, 0, 1, 
31, 239, 7.5, 1, 1, 0, 0, 0, 
34, 175, 6.1, 0, 0, 1, 1, 0, 
34, 321, 0, 0, 0, 1, 1, 0, 
35, 178, 9.2, 0, 0, 1, 1, 0, 
35, 288, 41.1, 0, 0, 1, 1, 1, 
35, 289, 33.1, 0, 0, 0, 0, 1, 
35, 290, 29.7, 0, 0, 0, 0, 1, 
35, 291, 26.4, 0, 0, 0, 0, 1, 
35, 292, 28.9, 0, 0, 0, 0, 1, 
35, 293, 42.8, 0, 0, 0, 0, 1, 
35, 294, 25.3, 0, 0, 0, 0, 1, 
35, 295, 0.2, 0, 0, 0, 0, 1, 
36, 59, 0, 0, 0, 1, 1, 0, 
37, 285, 23.9, 0, 0, 1, 1, 1, 
