SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 242, 16.3, 1, 1, 0, 0, 0, 
2, 219, 15.6, 1, 1, 0, 0, 1, 
4, 254, 13.2, 0, 0, 1, 0, 0, 
5, 187, 2.3, 0, 0, 1, 0, 0, 
5, 245, 7.6, 0, 0, 1, 0, 0, 
8, 239, 24.4, 0, 0, 1, 0, 0, 
12, 190, 8.3, 0, 0, 1, 0, 0, 
15, 221, 16.4, 1, 0, 0, 0, 0, 
18, 133, 2.1, 0, 0, 1, 1, 0, 
20, 119, 0.3, 0, 0, 1, 0, 0, 
25, 172, 0.4, 0, 0, 1, 0, 0, 
27, 219, 7.9, 0, 0, 1, 0, 0, 
28, 69, 0.3, 0, 0, 1, 0, 0, 
31, 70, 0, 0, 0, 1, 0, 0, 
31, 175, 4.6, 0, 0, 1, 0, 0, 
31, 258, 23.4, 0, 0, 1, 0, 0, 
35, 291, 26.4, 0, 0, 1, 1, 1, 
35, 292, 28.9, 0, 0, 0, 0, 1, 
35, 293, 42.8, 0, 0, 0, 0, 1, 
35, 294, 25.3, 0, 0, 0, 0, 1, 
36, 173, 5.2, 0, 0, 1, 0, 0, 
38, 247, 15.4, 1, 1, 0, 0, 0, 
38, 285, 29, 0, 0, 1, 0, 0, 
