statistic,value,label
ignition_attempts_per_year,0.5,pass3_s3333
fires_per_attempt,0.25,pass3_s3333
days_active_median,1,pass3_s3333
days_active_p90,3.8,pass3_s3333
days_active_max,5,pass3_s3333
mean_ros_median_m_min,0.91,pass3_s3333
max_ros_p90_m_min,9.508,pass3_s3333
mean_intensity_median_kW_m,70,pass3_s3333
max_intensity_p90_kW_m,10789,pass3_s3333
fraction_cells_passive_crown,0,pass3_s3333
fraction_cells_active_crown,0.00933333333333333,pass3_s3333
canopy_mortality_mean,0.0906666666666667,pass3_s3333
cells_per_fire_day_median,3,pass3_s3333
cells_per_fire_day_p90,47,pass3_s3333
burn_hours_median,4.7,pass3_s3333
ignition_fwi_median,18.6,pass3_s3333
end_weather,0.4,pass3_s3333
end_fuel_limited,0,pass3_s3333
end_season_end,0,pass3_s3333
