fwi_bin,days,burn_hours,cells_median,cells_p90,max_ros_median,max_intensity_median,max_intensity_p90
"(15,20]",1,4.8,5,5,3.18,2492,2492
"(20,25]",1,6.5,15,15,4.77,3581,3581
"(25,30]",1,8.9,45,45,9.19,7017,7017
"(30,40]",1,15.2,708,708,38.95,57379,57379
