EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 1, 2020, Lightning, 242, 422, 391, eco16, 18.6, 22, 263, Weather, 952, 771.1, 1.57, 9.31, 189, 3486, 3.3, 0.99, 0.01, 0, 0.07, 0, 64, 11178, 5651.5, 40131.1, 33118.5, 7006.2, 6.4, 887.87, 59652.5, 261, 23.8, 
2, 2, 2020, Accidental, 210, 350, 335, eco125, 7.8, 2, 211, Weather, 1, 0.8, 0.54, 0.54, 67, 67, 0.5, 1, 0, 0, 0.07, 0, 0, 36, 16.1, 29, 29, 0, 0, 0.56, 44.5, 0, 0, 
3, 2, 2020, Lightning, 215, 372, 417, eco100, 22.8, 3, 217, Weather, 5, 4.1, 0.77, 1.17, 50, 71, 0.6, 1, 0, 0, 0.16, 0, 0, 111, 49.3, 146.9, 138.9, 8, 0, 3.22, 218.9, 215, 22.8, 
4, 10, 2020, Accidental, 213, 368, 385, eco109, 19.5, 4, 216, Weather, 5, 4.1, 0.9, 1.26, 91, 141, 0.8, 1, 0, 0, 0.04, 0, 0, 100, 46.6, 183, 175.4, 7.6, 0, 3.87, 275, 214, 18.8, 
5, 13, 2020, Lightning, 221, 400, 426, eco16, 28, 37, 257, Weather, 590, 477.9, 1.13, 15.34, 191, 22692, 21.3, 0.9, 0.1, 0, 0.08, 0, 139, 11234, 9287.9, 30764.4, 24450.5, 6064.5, 249.4, 698.67, 45420.5, 255, 28.3, 
6, 17, 2020, Accidental, 225, 410, 433, eco16, 17.6, 11, 235, Weather, 144, 116.6, 1.2, 3.2, 139, 800, 1.7, 0.97, 0.03, 0, 0.05, 0, 30, 2684, 1888, 4472, 3832, 615.9, 24.1, 94.13, 6729.8, 233, 21, 
7, 34, 2020, Accidental, 267, 379, 429, eco100, 10.8, 4, 270, Weather, 2, 1.6, 1.57, 1.67, 148, 166, 0.8, 1, 0, 0, 0.12, 0, 0, 30, 61.9, 90.8, 84.5, 6.3, 0, 2.02, 134.7, 268, 16.3, 
8, 35, 2020, Accidental, 178, 328, 362, eco45, 8.6, 2, 179, Weather, 1, 0.8, 0.8, 0.8, 93, 93, 0.6, 1, 0, 0, 0.14, 0, 0, 19, 39.5, 33.3, 33.3, 0, 0, 0.71, 50, 0, 0, 
9, 36, 2020, Accidental, 208, 360, 382, eco100, 10.3, 2, 209, Weather, 1, 0.8, 0.41, 0.41, 43, 43, 0.4, 1, 0, 0, 0.04, 0, 0, 28, 14.3, 28.6, 28.6, 0, 0, 0.6, 43.1, 0, 0, 
