EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 3, 1996, Lightning, 207, 334, 385, eco14, 16.9, 1, 207, InitialAttack, 9, 7.3, 2.7, 4.54, 1456, 3476, 3.3, 0, 1, 0, 0.41, 0.11, 43, 190, 533, 274.9, 203.7, 0, 71.2, 5.36, 421.1, 207, 16.9, 
2, 3, 1996, Accidental, 281, 343, 425, eco14, 5, 1, 281, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 21.1, 21.1, 0, 0, 0.47, 31.4, 0, 0, 
3, 5, 1996, Accidental, 249, 359, 388, eco109, 39.7, 11, 259, Weather, 3338, 2703.8, 3.94, 26.57, 3329, 29454, 25.4, 0.1, 0.9, 0, 0.45, 0.42, 14216, 59815, 270941, 198900.6, 122456.2, 41653.3, 34791.1, 4286.19, 297614, 257, 26.6, 
4, 10, 1996, Lightning, 215, 436, 418, eco108, 20.9, 2, 216, Contained, 34, 27.5, 2.3, 4.72, 1350, 4486, 3.7, 0.38, 0.62, 0, 0.25, 0.18, 91, 537, 1276, 1657.9, 1236.7, 238.2, 183.1, 35.47, 2485.1, 216, 23.5, 
5, 11, 1996, Accidental, 215, 356, 336, eco61, 15.5, 1, 215, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15.4, 14.1, 1.3, 0, 0.39, 22, 0, 0, 
6, 12, 1996, Accidental, 180, 326, 425, eco39, 0, 1, 180, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 32, 29.3, 24.5, 24.5, 0, 0, 0.52, 36.7, 0, 0, 
7, 13, 1996, Accidental, 222, 428, 422, eco106, 29, 1, 222, InitialAttack, 28, 22.7, 3.71, 7.36, 2624, 7303, 4.6, 0, 1, 0, 0.69, 0.54, 182, 242, 2783.7, 1171.5, 772, 103.1, 296.4, 23.7, 1779.4, 222, 29, 
8, 13, 1996, Lightning, 260, 348, 405, eco14, 27.3, 1, 260, InitialAttack, 51, 41.3, 2.45, 7.98, 1739, 7338, 4.7, 0.14, 0.86, 0, 0.23, 0.18, 63, 843, 2413.2, 2424.7, 1590.6, 461, 373.1, 51.73, 3637.1, 260, 27.3, 
9, 14, 1996, Accidental, 203, 375, 360, eco100, 17.5, 1, 203, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16.6, 13.9, 2.7, 0, 0.42, 23.7, 0, 0, 
10, 17, 1996, Lightning, 199, 324, 323, eco45, 0.4, 1, 199, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.11, 0, 0, 13, 20.7, 27.8, 27.8, 0, 0, 0.59, 41.7, 0, 0, 
11, 17, 1996, Accidental, 280, 399, 378, eco164, 1.5, 1, 280, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.15, 0, 0, 16, 12.2, 14.2, 14.2, 0, 0, 0.32, 21, 0, 0, 
12, 19, 1996, Lightning, 209, 410, 382, eco164, 14.2, 1, 209, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10.3, 10, 0.3, 0, 0.26, 14.7, 0, 0, 
13, 19, 1996, Lightning, 212, 355, 426, eco105, 26.2, 1, 212, InitialAttack, 15, 12.2, 2.69, 7.96, 2536, 11532, 5.7, 0.33, 0.67, 0, 0.25, 0.13, 31, 302, 829.9, 867.2, 700.2, 68, 99, 19.27, 1287.6, 212, 26.2, 
14, 20, 1996, Lightning, 235, 339, 419, eco12, 34.1, 2, 236, Contained, 153, 123.9, 3.33, 18.83, 3692, 39339, 30.8, 0.12, 0.84, 0.04, 0.35, 0.33, 492, 2495, 10921.2, 10174, 7333.1, 1190.3, 1650.6, 220.96, 15193.9, 236, 26, 
15, 21, 1996, Lightning, 179, 348, 349, eco131, 8.3, 2, 180, Weather, 1, 0.8, 0.22, 0.22, 32, 32, 0.4, 1, 0, 0, 0.04, 0, 0, 9, 3.1, 15.1, 15.1, 0, 0, 0.33, 22.6, 0, 0, 
16, 22, 1996, Accidental, 213, 379, 353, eco100, 9.2, 1, 213, InitialAttack, 1, 0.8, 2.75, 2.75, 2052, 2052, 2.6, 0, 1, 0, 0.76, 0, 0, 9, 78.8, 34.2, 19.1, 0.1, 15.1, 0.62, 53.2, 0, 0, 
17, 23, 1996, Accidental, 215, 384, 359, eco20, 12.4, 1, 215, InitialAttack, 1, 0.8, 0.4, 0.4, 187, 187, 0.9, 0, 1, 0, 0.08, 0, 0, 23, 15.1, 43.3, 41.3, 0, 2, 0.89, 65.5, 0, 0, 
18, 26, 1996, Lightning, 266, 352, 411, eco14, 20.1, 1, 266, InitialAttack, 1, 0.8, 0.16, 0.16, 37, 37, 0.4, 1, 0, 0, 0.04, 0, 0, 8, 4.1, 25.7, 21.6, 4.1, 0, 0.59, 37.8, 0, 0, 
19, 27, 1996, Accidental, 197, 340, 345, eco125, 12.3, 1, 197, InitialAttack, 1, 0.8, 2.56, 2.56, 527, 527, 1.4, 0, 1, 0, 0.39, 0, 0, 13, 30.1, 12.7, 10, 0, 2.6, 0.25, 19.3, 0, 0, 
20, 29, 1996, Lightning, 253, 413, 417, eco16, 41.9, 4, 256, Contained, 281, 227.6, 2.45, 8.77, 2558, 17328, 17.8, 0.18, 0.81, 0.01, 0.4, 0.25, 1305, 4161, 28340.1, 20389, 13880.4, 3659.6, 2849.1, 440.06, 30496.2, 255, 28.3, 
21, 31, 1996, Lightning, 182, 343, 404, eco12, 17.9, 1, 182, InitialAttack, 1, 0.8, 0.73, 0.73, 145, 145, 0.8, 1, 0, 0, 0.04, 0, 0, 12, 8.9, 21.3, 21.3, 0, 0, 0.43, 32.5, 0, 0, 
22, 32, 1996, Accidental, 244, 353, 440, eco105, 22.2, 1, 244, InitialAttack, 20, 16.2, 2.65, 4.67, 2368, 6463, 4.4, 0.05, 0.95, 0, 0.4, 0.15, 43, 372, 2038.2, 1130.1, 773.4, 121.1, 235.5, 23.29, 1709.1, 244, 22.2, 
23, 33, 1996, Lightning, 233, 414, 429, eco16, 4.7, 1, 233, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.04, 0, 0, 21, 14, 43.4, 35.6, 7.8, 0, 1, 63.9, 0, 0, 
24, 34, 1996, Lightning, 178, 427, 410, eco106, 4.1, 2, 179, Weather, 1, 0.8, 0.89, 0.89, 628, 628, 1.5, 0, 1, 0, 0.21, 0, 0, 10, 52.6, 41.1, 29.4, 0, 11.6, 0.77, 63.4, 0, 0, 
25, 34, 1996, Accidental, 201, 360, 384, eco100, 8.4, 1, 201, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.05, 0, 0, 4, 0.7, 9.4, 9.4, 0, 0, 0.23, 13.5, 0, 0, 
26, 34, 1996, Accidental, 281, 390, 438, eco16, 0, 1, 281, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.05, 0, 0, 12, 8.2, 20.3, 20.3, 0, 0, 0.42, 30.6, 0, 0, 
27, 35, 1996, Lightning, 230, 419, 371, eco20, 21.8, 2, 231, Contained, 86, 69.7, 4.31, 18.17, 5669, 35765, 28.9, 0.02, 0.9, 0.08, 0.76, 0.72, 715, 737, 14914.7, 5940.1, 3687.4, 598.9, 1653.8, 118.51, 9050.9, 230, 21.8, 
28, 38, 1996, Lightning, 222, 415, 402, eco164, 24.2, 1, 222, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6.1, 5.7, 0.4, 0, 0.16, 8.7, 0, 0, 
29, 38, 1996, Lightning, 243, 387, 413, eco100, 33, 1, 243, InitialAttack, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 7.3, 1.6, 0, 0.23, 12.8, 0, 0, 
30, 38, 1996, Lightning, 253, 359, 389, eco109, 40.8, 3, 255, Contained, 19, 15.4, 3.39, 19.94, 3428, 31446, 26.5, 0.37, 0.58, 0.05, 0.28, 0.21, 53, 222, 1210.8, 1029.9, 706.6, 177.1, 146.2, 22.46, 1536.5, 255, 27.4, 
31, 39, 1996, Lightning, 228, 336, 427, eco44, 10.1, 1, 228, InitialAttack, 1, 0.8, 1.08, 1.08, 498, 498, 1.3, 0, 1, 0, 0.04, 0, 1, 12, 13.7, 40.5, 36.8, 1.2, 2.5, 0.88, 60.4, 0, 0, 
