SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
3, 207, 17.6, 1, 1, 0, 0, 0, 
3, 281, 4.4, 0, 0, 1, 1, 0, 
5, 249, 35.8, 0, 0, 1, 1, 1, 
5, 250, 28.8, 0, 0, 0, 0, 1, 
5, 251, 28.4, 0, 0, 0, 0, 1, 
5, 252, 32.3, 0, 0, 0, 0, 1, 
5, 253, 17.1, 0, 0, 0, 0, 1, 
5, 254, 18.9, 0, 0, 0, 0, 1, 
5, 255, 24.8, 0, 0, 0, 0, 1, 
5, 256, 34.9, 0, 0, 0, 0, 1, 
5, 257, 17.5, 0, 0, 0, 0, 1, 
5, 258, 0.1, 0, 0, 0, 0, 1, 
10, 215, 20, 1, 1, 0, 0, 1, 
11, 215, 20.3, 0, 0, 1, 1, 0, 
12, 180, 0, 0, 0, 1, 1, 0, 
13, 222, 27.7, 0, 0, 1, 1, 0, 
13, 260, 25.4, 1, 1, 0, 0, 0, 
14, 203, 15.5, 0, 0, 1, 1, 0, 
17, 199, 6.9, 1, 1, 0, 0, 0, 
17, 280, 1.7, 0, 0, 1, 1, 0, 
19, 209, 17.3, 1, 1, 0, 0, 0, 
19, 212, 22.3, 1, 1, 0, 0, 0, 
20, 235, 34.1, 1, 1, 0, 0, 1, 
21, 179, 8.2, 1, 1, 0, 0, 1, 
22, 213, 9.6, 0, 0, 1, 1, 0, 
23, 215, 12, 0, 0, 1, 1, 0, 
26, 266, 18.6, 1, 1, 0, 0, 0, 
27, 197, 13.9, 0, 0, 1, 1, 0, 
29, 253, 41, 1, 1, 0, 0, 1, 
29, 254, 30.5, 0, 0, 0, 0, 1, 
29, 255, 26.7, 0, 0, 0, 0, 1, 
31, 182, 15.9, 1, 1, 0, 0, 0, 
32, 244, 17.1, 0, 0, 1, 1, 0, 
33, 233, 2.3, 1, 1, 0, 0, 0, 
34, 178, 2.8, 1, 1, 0, 0, 1, 
34, 201, 11.8, 0, 0, 1, 1, 0, 
34, 281, 0, 0, 0, 1, 1, 0, 
35, 230, 29.4, 1, 1, 0, 0, 1, 
38, 222, 25.7, 1, 1, 0, 0, 0, 
38, 243, 30.7, 1, 1, 0, 0, 0, 
38, 253, 41, 1, 1, 0, 0, 1, 
38, 254, 30.5, 0, 0, 0, 0, 1, 
39, 228, 12.3, 1, 1, 0, 0, 0, 
