SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,
1, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 21.3, 
2, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 21.8, 
3, 1996, 2, 2, 1, 1, 10, 8.1, 7.3, 0.1, 0.9, 207, 281, 534, 296, 5.8, 453, 1, 4.8, 35.8, 
4, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1, 44.5, 
5, 1996, 1, 1, 0, 1, 3338, 2703.8, 2703.8, 0.42, 0.9, 249, 249, 270941, 198901, 4286.2, 297614, 0, 9.1, 44.5, 
6, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5, 26.6, 
7, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1, 25.5, 
8, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1, 25.6, 
9, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 22.5, 
10, 1996, 1, 1, 1, 0, 34, 27.5, 27.5, 0.18, 0.62, 215, 215, 1276, 1658, 35.5, 2485, 1, 7.1, 30.2, 
11, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 215, 215, 0, 15, 0.4, 22, 1, 4, 22.8, 
12, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 180, 180, 29, 24, 0.5, 37, 0, 3.7, 22.5, 
13, 1996, 2, 2, 1, 1, 79, 64, 41.3, 0.3, 0.91, 222, 260, 5197, 3596, 75.4, 5416, 2, 9.2, 38.2, 
14, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 203, 203, 0, 17, 0.4, 24, 1, 6.5, 32.5, 
15, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1, 25.6, 
16, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8, 35.8, 
17, 1996, 2, 2, 1, 1, 2, 1.6, 0.8, 0, 0, 199, 280, 33, 42, 0.9, 63, 0, 4.7, 29.2, 
18, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8, 29.6, 
19, 1996, 2, 2, 2, 0, 16, 13, 12.2, 0.13, 0.63, 209, 212, 830, 877, 19.5, 1302, 2, 6.8, 34.1, 
20, 1996, 1, 1, 1, 0, 153, 123.9, 123.9, 0.33, 0.88, 235, 235, 10921, 10174, 221, 15194, 1, 6.8, 34.1, 
21, 1996, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 179, 179, 3, 15, 0.3, 23, 0, 4, 22.8, 
22, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 1, 213, 213, 79, 34, 0.6, 53, 1, 3.7, 21.3, 
23, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 1, 215, 215, 15, 43, 0.9, 65, 1, 4.6, 25.3, 
24, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 19.7, 
25, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3, 26.5, 
26, 1996, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 266, 266, 4, 26, 0.6, 38, 1, 6.8, 28.5, 
27, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 1, 197, 197, 30, 13, 0.3, 19, 1, 3.1, 23.3, 
28, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 19.9, 
29, 1996, 1, 1, 1, 0, 281, 227.6, 227.6, 0.25, 0.82, 253, 253, 28340, 20389, 440.1, 30496, 1, 11.8, 42.8, 
30, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 19.9, 
31, 1996, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 182, 182, 9, 21, 0.4, 32, 1, 7.8, 29.6, 
32, 1996, 1, 1, 0, 1, 20, 16.2, 16.2, 0.15, 0.95, 244, 244, 2038, 1130, 23.3, 1709, 1, 7.9, 29, 
33, 1996, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 233, 233, 14, 43, 1, 64, 0, 3.7, 19.9, 
34, 1996, 3, 3, 1, 2, 3, 2.4, 0.8, 0, 0.33, 178, 281, 61, 71, 1.4, 107, 0, 3.1, 23.3, 
35, 1996, 1, 1, 1, 0, 86, 69.7, 69.7, 0.72, 0.98, 230, 230, 14915, 5940, 118.5, 9051, 1, 6.5, 32.5, 
36, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8, 35.8, 
37, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 17.4, 
38, 1996, 3, 3, 3, 0, 21, 17, 15.4, 0.19, 0.57, 222, 253, 1211, 1045, 22.8, 1558, 3, 11.8, 42.8, 
39, 1996, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 1, 228, 228, 14, 40, 0.9, 60, 1, 3.7, 16.6, 
40, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9, 29, 
