statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass5_s5555
active_cells,9346,9346,1,pass5_s5555
cells_per_year_mean,78.2125,101.35,1.29582867188749,pass5_s5555
cells_per_year_median,0,1,Inf,pass5_s5555
cells_per_year_p90,59.8000000000002,79.7,1.33277591973244,pass5_s5555
cells_per_year_max,1328,3338,2.51355421686747,pass5_s5555
fraction_years_with_fire,0.3875,0.575,1.48387096774194,pass5_s5555
annual_fraction_burned,0.00836855339182538,0.0108442114273486,1.29582867188749,pass5_s5555
rotation_years,119.494965638485,92.2150962012827,0.771706956092747,pass5_s5555
fires_per_year,0.4875,0.775,1.58974358974359,pass5_s5555
fire_size_median,12,1,0.0833333333333333,pass5_s5555
fire_size_p90,621.400000000001,86,0.13839716768587,pass5_s5555
fire_size_max,1283,3338,2.60171473109899,pass5_s5555
fraction_fires_gt10,0.512820512820513,0.32258064516129,0.629032258064516,pass5_s5555
fraction_fires_gt100,0.17948717948718,0.0967741935483871,0.539170506912441,pass5_s5555
