statistic,value,label
ignition_attempts_per_year,0.775,pass5_s5555
fires_per_attempt,1,pass5_s5555
days_active_median,1,pass5_s5555
days_active_p90,2,pass5_s5555
days_active_max,11,pass5_s5555
mean_ros_median_m_min,0.73,pass5_s5555
max_ros_p90_m_min,18.17,pass5_s5555
mean_intensity_median_kW_m,187,pass5_s5555
max_intensity_p90_kW_m,29454,pass5_s5555
fraction_cells_passive_crown,0.884247656635422,pass5_s5555
fraction_cells_active_crown,0.00413418845584608,pass5_s5555
canopy_mortality_mean,0.442972372964973,pass5_s5555
cells_per_fire_day_median,6,pass5_s5555
cells_per_fire_day_p90,208,pass5_s5555
burn_hours_median,6.3,pass5_s5555
ignition_fwi_median,16.9,pass5_s5555
end_weather,0.0967741935483871,pass5_s5555
end_fuel_limited,0,pass5_s5555
end_season_end,0,pass5_s5555
