EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 3, 207, 16.9, 3.7, 9, 7.3, 4.54, 2154, no, 
2, 3, 281, 5, 0, 1, 0.8, 0, 0, no, 
3, 5, 249, 39.7, 15.8, 230, 186.3, 26.57, 29454, no, 
3, 5, 250, 31.4, 11.4, 86, 256, 12.38, 8591, yes, 
3, 5, 251, 30.6, 11, 242, 452, 10.54, 11508, yes, 
3, 5, 252, 36.3, 14, 896, 1177.7, 15.6, 15390, yes, 
3, 5, 253, 18.1, 4.3, 18, 1192.3, 2.14, 1701, yes, 
3, 5, 254, 19.4, 5, 37, 1222.3, 3.71, 1389, yes, 
3, 5, 255, 26.8, 8.9, 397, 1543.9, 7.51, 7856, yes, 
3, 5, 256, 36.6, 14.2, 1399, 2677.1, 15.79, 19909, yes, 
3, 5, 257, 26.6, 8.8, 33, 2703.8, 7.46, 6730, yes, 
4, 10, 215, 20.9, 5.8, 11, 8.9, 3.37, 1936, no, 
4, 10, 216, 23.5, 7.1, 23, 27.5, 4.72, 4486, yes, 
5, 11, 215, 15.5, 2.9, 1, 0.8, 0, 0, no, 
6, 12, 180, 0, 0, 1, 0.8, 0, 0, no, 
7, 13, 222, 29, 10.1, 28, 22.7, 7.36, 7303, no, 
8, 13, 260, 27.3, 9.2, 51, 41.3, 7.98, 7338, no, 
9, 14, 203, 17.5, 3.9, 1, 0.8, 0, 0, no, 
10, 17, 199, 0.4, 0, 1, 0.8, 0, 0, no, 
11, 17, 280, 1.5, 0, 1, 0.8, 0, 0, no, 
12, 19, 209, 14.2, 2.2, 1, 0.8, 0, 0, no, 
13, 19, 212, 26.2, 8.6, 15, 12.2, 5.78, 7361, no, 
14, 20, 235, 34.1, 12.8, 68, 55.1, 18.83, 39339, no, 
14, 20, 236, 26, 8.5, 85, 123.9, 12.96, 24110, yes, 
15, 21, 179, 8.3, 0, 1, 0.8, 0, 0, no, 
16, 22, 213, 9.2, 0, 1, 0.8, 0, 0, no, 
17, 23, 215, 12.4, 1.2, 1, 0.8, 0, 0, no, 
18, 26, 266, 20.1, 5.3, 1, 0.8, 0, 0, no, 
19, 27, 197, 12.3, 1.2, 1, 0.8, 0, 0, no, 
20, 29, 253, 41.9, 16, 1, 0.8, 0, 0, no, 
20, 29, 254, 30.8, 11.1, 175, 142.6, 8.77, 17328, yes, 
20, 29, 255, 28.3, 9.7, 105, 227.6, 5.84, 6682, yes, 
21, 31, 182, 17.9, 4.2, 1, 0.8, 0, 0, no, 
22, 32, 244, 22.2, 6.5, 20, 16.2, 4.67, 6463, no, 
23, 33, 233, 4.7, 0, 1, 0.8, 0, 0, no, 
24, 34, 178, 4.1, 0, 1, 0.8, 0, 0, no, 
25, 34, 201, 8.4, 0, 1, 0.8, 0, 0, no, 
26, 34, 281, 0, 0, 1, 0.8, 0, 0, no, 
27, 35, 230, 21.8, 6.3, 86, 69.7, 18.17, 35765, no, 
28, 38, 222, 24.2, 7.5, 1, 0.8, 0, 0, no, 
29, 38, 243, 33, 12.3, 1, 0.8, 0, 0, no, 
30, 38, 253, 40.8, 16, 8, 6.5, 19.94, 31446, no, 
30, 38, 254, 29.3, 10.3, 6, 11.3, 3.9, 2057, yes, 
30, 38, 255, 27.4, 9.2, 5, 15.4, 3.18, 3229, yes, 
31, 39, 228, 10.1, 0, 1, 0.8, 0, 0, no, 
