statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.775,1.16459677172816,pass5_s5555
lightning_fires_per_year,0.245861963738911,0.45,1.83029531350311,pass5_s5555
fire_size_median,1,1,1,pass5_s5555
fire_size_p90,1,86,86,pass5_s5555
fraction_fires_gt10,0.0295566502463054,0.32258064516129,10.9139784946237,pass5_s5555
fraction_fires_gt100,0.0167487684729064,0.0967741935483871,5.77798861480076,pass5_s5555
annual_fraction_burned_fpa,0.00255391986643236,0.0108442114273486,4.24610480926998,pass5_s5555
annual_fraction_burned_mtbs,0.003639630975609,0.0108442114273486,2.97948102431843,pass5_s5555
ignition_doy_median,221,222,1.00452488687783,pass5_s5555
ignition_doy_p10,176,182,1.03409090909091,pass5_s5555
ignition_doy_p90,265,266,1.00377358490566,pass5_s5555
fraction_area_high_severity_mtbs,0.418807906637985,0.40083127775037,0.957076672616036,pass5_s5555
