EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 1, 216, 34.5, 13.1, 327, 264.9, 19.84, 26456, no, 
1, 1, 217, 28.5, 9.9, 122, 363.7, 9.9, 7120, yes, 
1, 1, 218, 24.8, 7.9, 57, 409.9, 4.59, 4167, yes, 
1, 1, 219, 25.8, 8.4, 78, 473, 8.56, 7331, yes, 
1, 1, 220, 24.6, 7.7, 46, 510.3, 7.33, 5324, yes, 
1, 1, 221, 23.5, 7.1, 48, 549.2, 6.11, 4614, yes, 
1, 1, 222, 26.9, 9, 93, 624.5, 6.35, 4468, yes, 
1, 1, 223, 30.4, 10.9, 178, 768.7, 11.84, 14371, yes, 
1, 1, 224, 27.5, 9.3, 121, 866.7, 11.13, 10682, yes, 
2, 1, 234, 18, 4.2, 1, 0.8, 0, 0, no, 
3, 1, 236, 23, 6.9, 103, 83.4, 7.81, 7557, no, 
3, 1, 237, 17.8, 4.1, 32, 109.4, 3.05, 2407, yes, 
3, 1, 238, 16.9, 3.7, 25, 129.6, 3.01, 1710, yes, 
3, 1, 239, 21.7, 6.2, 66, 183.1, 5.28, 2906, yes, 
3, 1, 240, 30.6, 11, 360, 474.7, 10.06, 9385, yes, 
3, 1, 241, 33.5, 12.5, 376, 779.2, 13.99, 11980, yes, 
3, 1, 242, 41, 16, 1271, 1808.7, 43.64, 85419, yes, 
3, 1, 243, 33.9, 12.7, 1039, 2650.3, 18.7, 23944, yes, 
3, 1, 244, 22.8, 6.8, 213, 2822.9, 7.13, 4728, yes, 
3, 1, 245, 23.3, 7.1, 82, 2889.3, 4.87, 3132, yes, 
3, 1, 246, 28, 9.6, 206, 3056.1, 5.95, 5736, yes, 
3, 1, 247, 37.6, 14.7, 622, 3560, 17.14, 13681, yes, 
3, 1, 248, 40.7, 16, 536, 3994.1, 31.7, 62847, yes, 
3, 1, 249, 32.4, 11.9, 207, 4161.8, 8.56, 10193, yes, 
3, 1, 250, 37.7, 14.8, 875, 4870.5, 28.42, 13266, yes, 
3, 1, 251, 24.7, 7.8, 85, 4939.4, 8.58, 4213, yes, 
3, 1, 252, 15, 2.6, 4, 4942.6, 1.83, 760, yes, 
4, 2, 150, 0.1, 0, 1, 0.8, 0, 0, no, 
5, 3, 127, 0, 0, 1, 0.8, 0, 0, no, 
6, 3, 266, 17, 3.7, 2, 1.6, 0.77, 289, no, 
6, 3, 268, 20.8, 5.7, 1, 2.4, 0.67, 282, yes, 
6, 3, 269, 27.4, 9.2, 7, 8.1, 5.93, 5685, yes, 
6, 3, 270, 29.6, 10.4, 11, 17, 7.73, 4188, yes, 
7, 4, 63, 0, 0, 1, 0.8, 0, 0, no, 
8, 4, 228, 10.9, 0, 1, 0.8, 0, 0, no, 
9, 4, 286, 0, 0, 1, 0.8, 0, 0, no, 
10, 7, 129, 2.6, 0, 1, 0.8, 0, 0, no, 
11, 8, 230, 21.6, 6.2, 1, 0.8, 0, 0, no, 
12, 9, 306, 0, 0, 1, 0.8, 0, 0, no, 
13, 10, 201, 8.4, 0, 1, 0.8, 0, 0, no, 
14, 16, 245, 1.5, 0, 1, 0.8, 0, 0, no, 
15, 17, 227, 14.5, 2.3, 1, 0.8, 0, 0, no, 
16, 20, 139, 6.4, 0, 1, 0.8, 0, 0, no, 
17, 22, 238, 29.5, 10.4, 26, 21.1, 6.26, 5937, no, 
17, 22, 239, 23.7, 7.3, 19, 36.5, 2.37, 1776, yes, 
17, 22, 240, 18.2, 4.3, 2, 38.1, 0.72, 397, yes, 
17, 22, 241, 18.5, 4.5, 1, 38.9, 0.52, 218, yes, 
17, 22, 242, 22.9, 6.9, 4, 42.1, 1.01, 540, yes, 
17, 22, 243, 32, 11.7, 111, 132, 17.27, 34928, yes, 
17, 22, 244, 32, 11.7, 45, 168.5, 8.95, 17636, yes, 
17, 22, 245, 32, 11.7, 27, 190.4, 9.01, 6658, yes, 
17, 22, 246, 34, 12.8, 13, 200.9, 6.04, 4172, yes, 
18, 25, 262, 15.7, 3, 1, 0.8, 0, 0, no, 
19, 26, 235, 17, 3.7, 1, 0.8, 0, 0, no, 
20, 26, 283, 20.9, 5.8, 5, 4.1, 3.53, 1809, no, 
20, 26, 284, 26.2, 8.6, 28, 26.7, 18.26, 33845, yes, 
20, 26, 285, 30.5, 10.9, 114, 119.1, 37.72, 80188, yes, 
20, 26, 286, 19.7, 5.1, 14, 130.4, 5.73, 4924, yes, 
20, 26, 287, 20.3, 5.4, 17, 144.2, 5.56, 5776, yes, 
20, 26, 288, 24.7, 7.8, 53, 187.1, 9.81, 21618, yes, 
20, 26, 289, 51.3, 16, 469, 567, 60, 127435, yes, 
21, 27, 172, 0, 0, 1, 0.8, 0, 0, no, 
22, 28, 285, 28.2, 9.7, 1, 0.8, 0, 0, no, 
23, 29, 189, 19.2, 4.9, 1, 0.8, 0, 0, no, 
24, 30, 198, 9, 0, 1, 0.8, 0, 0, no, 
25, 31, 100, 0.6, 0, 1, 0.8, 0, 0, no, 
26, 36, 201, 12.1, 1, 1, 0.8, 0, 0, no, 
27, 38, 221, 4.8, 0, 1, 0.8, 0, 0, no, 
28, 40, 271, 0, 0, 1, 0.8, 0, 0, no, 
