statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.7,1.05189385833512,pass4_s4444
lightning_fires_per_year,0.245861963738911,0.05,0.20336614594479,pass4_s4444
fire_size_median,1,1,1,pass4_s4444
fire_size_p90,1,383.6,383.6,pass4_s4444
fraction_fires_gt10,0.0295566502463054,0.178571428571429,6.04166666666667,pass4_s4444
fraction_fires_gt100,0.0167487684729064,0.142857142857143,8.52941176470588,pass4_s4444
annual_fraction_burned_fpa,0.00255391986643236,0.0218382195591697,8.55086326168726,pass4_s4444
annual_fraction_burned_mtbs,0.003639630975609,0.0218382195591697,6.00011916194763,pass4_s4444
ignition_doy_median,221,227.5,1.02941176470588,pass4_s4444
ignition_doy_p10,176,128.4,0.729545454545455,pass4_s4444
ignition_doy_p90,265,283.6,1.07018867924528,pass4_s4444
fraction_area_high_severity_mtbs,0.418807906637985,0.346915727584517,0.82834092214116,pass4_s4444
