statistic,value,label
ignition_attempts_per_year,0.7,pass4_s4444
fires_per_attempt,1,pass4_s4444
days_active_median,1,pass4_s4444
days_active_p90,9,pass4_s4444
days_active_max,19,pass4_s4444
mean_ros_median_m_min,0.035,pass4_s4444
max_ros_p90_m_min,18.041,pass4_s4444
mean_intensity_median_kW_m,16.5,pass4_s4444
max_intensity_p90_kW_m,28997.6,pass4_s4444
fraction_cells_passive_crown,0.67563081822636,pass4_s4444
fraction_cells_active_crown,0.0167638412542871,pass4_s4444
canopy_mortality_mean,0.407648211660951,pass4_s4444
cells_per_fire_day_median,17,pass4_s4444
cells_per_fire_day_p90,363.2,pass4_s4444
burn_hours_median,6.9,pass4_s4444
ignition_fwi_median,9.95,pass4_s4444
end_weather,0.285714285714286,pass4_s4444
end_fuel_limited,0,pass4_s4444
end_season_end,0,pass4_s4444
