statistic,value,label
ignition_attempts_per_year,0.675,pass5_s3333
fires_per_attempt,1,pass5_s3333
days_active_median,1,pass5_s3333
days_active_p90,2,pass5_s3333
days_active_max,7,pass5_s3333
mean_ros_median_m_min,0.64,pass5_s3333
max_ros_p90_m_min,3.748,pass5_s3333
mean_intensity_median_kW_m,414,pass5_s3333
max_intensity_p90_kW_m,5408.6,pass5_s3333
fraction_cells_passive_crown,0.860336426914153,pass5_s3333
fraction_cells_active_crown,0.0906109822119103,pass5_s3333
canopy_mortality_mean,0.577525135344161,pass5_s3333
cells_per_fire_day_median,1,pass5_s3333
cells_per_fire_day_p90,319.8,pass5_s3333
burn_hours_median,1.7,pass5_s3333
ignition_fwi_median,8.5,pass5_s3333
end_weather,0.0740740740740741,pass5_s3333
end_fuel_limited,0,pass5_s3333
end_season_end,0,pass5_s3333
