SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
3, 154, 5.4, 0, 0, 1, 1, 0, 
4, 219, 19.1, 1, 1, 0, 0, 0, 
7, 235, 19, 1, 1, 0, 0, 1, 
8, 257, 9.2, 0, 0, 1, 1, 0, 
9, 229, 23.6, 1, 1, 0, 0, 1, 
9, 230, 30.5, 0, 0, 0, 0, 1, 
9, 231, 3.9, 0, 0, 0, 0, 1, 
10, 198, 12.3, 1, 1, 0, 0, 0, 
10, 209, 26.6, 0, 0, 1, 1, 1, 
13, 175, 1.3, 1, 1, 0, 0, 0, 
13, 212, 25.9, 0, 0, 1, 1, 1, 
13, 213, 31.3, 0, 0, 0, 0, 1, 
13, 214, 24.2, 0, 0, 0, 0, 1, 
13, 215, 25.9, 0, 0, 0, 0, 1, 
13, 216, 25.1, 0, 0, 0, 0, 1, 
13, 217, 12.6, 0, 0, 0, 0, 1, 
18, 210, 0, 0, 0, 1, 1, 0, 
21, 240, 13.2, 1, 1, 0, 0, 0, 
21, 253, 23.6, 1, 1, 0, 0, 0, 
21, 255, 25.7, 1, 1, 0, 0, 0, 
22, 240, 6.1, 0, 0, 1, 1, 0, 
27, 289, 0.1, 0, 0, 1, 1, 0, 
29, 266, 10.3, 0, 0, 1, 1, 0, 
30, 156, 3.1, 0, 0, 1, 1, 0, 
30, 231, 17.5, 1, 1, 0, 0, 0, 
31, 291, 12.7, 1, 1, 0, 0, 0, 
32, 299, 0.2, 0, 0, 1, 1, 0, 
33, 207, 0, 0, 0, 1, 1, 0, 
34, 215, 2.2, 0, 0, 1, 1, 0, 
35, 232, 20.9, 0, 0, 1, 1, 1, 
35, 300, 0, 1, 1, 0, 0, 0, 
36, 220, 0.9, 0, 0, 1, 1, 0, 
36, 255, 7, 1, 1, 0, 0, 0, 
40, 213, 10.6, 0, 0, 1, 1, 0, 
