statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass5_s3333
active_cells,9346,9346,1,pass5_s3333
cells_per_year_mean,78.2125,64.65,0.826594214479783,pass5_s3333
cells_per_year_median,0,0.5,Inf,pass5_s3333
cells_per_year_p90,59.8000000000002,4.50000000000001,0.0752508361204012,pass5_s3333
cells_per_year_max,1328,2199,1.6558734939759,pass5_s3333
fraction_years_with_fire,0.3875,0.5,1.29032258064516,pass5_s3333
annual_fraction_burned,0.00836855339182538,0.00691739781724802,0.826594214479783,pass5_s3333
rotation_years,119.494965638485,144.563031709203,1.20978344934261,pass5_s3333
fires_per_year,0.4875,0.675,1.38461538461538,pass5_s3333
fire_size_median,12,1,0.0833333333333333,pass5_s3333
fire_size_p90,621.400000000001,8.8,0.0141615706469263,pass5_s3333
fire_size_max,1283,2198,1.71317225253313,pass5_s3333
fraction_fires_gt10,0.512820512820513,0.0740740740740741,0.144444444444444,pass5_s3333
fraction_fires_gt100,0.17948717948718,0.0740740740740741,0.412698412698412,pass5_s3333
