statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.675,1.01432622053743,pass5_s3333
lightning_fires_per_year,0.245861963738911,0.3,1.22019687566874,pass5_s3333
fire_size_median,1,1,1,pass5_s3333
fire_size_p90,1,8.8,8.8,pass5_s3333
fraction_fires_gt10,0.0295566502463054,0.0740740740740741,2.50617283950617,pass5_s3333
fraction_fires_gt100,0.0167487684729064,0.0740740740740741,4.42265795206972,pass5_s3333
annual_fraction_burned_fpa,0.00255391986643236,0.00691739781724802,2.70854144962313,pass5_s3333
annual_fraction_burned_mtbs,0.003639630975609,0.00691739781724802,1.90057669681487,pass5_s3333
ignition_doy_median,221,231,1.04524886877828,pass5_s3333
ignition_doy_p10,176,188.8,1.07272727272727,pass5_s3333
ignition_doy_p90,265,289.8,1.09358490566038,pass5_s3333
fraction_area_high_severity_mtbs,0.418807906637985,0.532366589327146,1.27114741839705,pass5_s3333
