EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,
1, 1, 1991, Lightning, 284, 379, 346, eco100, 24.4, 4, 287, Contained, 143, 115.8, 3.38, 17.02, 1715, 16313, 17.1, 0.53, 0.45, 0.01, 0.35, 0.28, 472, 759, 3892.4, 5994.9, 4426.7, 1172.8, 395.3, 135.41, 8863.3, 287, 18.9, 
2, 1, 1991, Accidental, 289, 375, 436, eco100, 45.7, 1, 289, InitialAttack, 29, 23.5, 9.83, 19.23, 6515, 16942, 17.5, 0.1, 0.83, 0.07, 0.76, 0.9, 132, 287, 2204, 1576, 1014.8, 331.8, 229.4, 34, 2357.6, 289, 45.7, 
3, 2, 1991, Lightning, 242, 373, 387, eco17, 22.7, 3, 244, Contained, 479, 388, 3.2, 11.22, 2087, 9828, 5.3, 0.19, 0.81, 0, 0.38, 0.27, 2341, 8743, 28829.6, 22048.4, 15417, 3473.7, 3157.7, 472, 33044.6, 244, 18.3, 
4, 12, 1991, Accidental, 238, 353, 372, eco119, 0.2, 1, 238, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13.8, 12.5, 1.3, 0, 0.36, 19.7, 0, 0, 
5, 12, 1991, Lightning, 247, 342, 408, eco12, 9.7, 1, 247, InitialAttack, 1, 0.8, 0.66, 0.66, 315, 315, 1.1, 1, 0, 0, 0.03, 0, 0, 21, 8, 54.9, 48.3, 6.6, 0, 1.22, 81.4, 0, 0, 
6, 12, 1991, Lightning, 250, 426, 383, eco16, 22.6, 2, 251, Contained, 430, 348.3, 6.21, 22.67, 6028, 35294, 28.6, 0.05, 0.79, 0.16, 0.71, 0.63, 3829, 3781, 46519.2, 18741.5, 12154.1, 802.3, 5785.2, 358.88, 28814.1, 251, 23.3, 
7, 12, 1991, Lightning, 292, 353, 378, eco100, 0, 1, 292, Unsustained, 1, 0.8, 0, 0, 0, 0, 0, 1, 0, 0, 0.09, 0, 0, 23, 15, 33.3, 32.1, 1.2, 0, 0.73, 49.6, 0, 0, 
8, 13, 1991, Accidental, 212, 440, 425, eco108, 17.5, 1, 212, InitialAttack, 4, 3.2, 2.26, 2.58, 1345, 2004, 2.6, 0.25, 0.75, 0, 0.34, 0, 8, 46, 230, 168.4, 120.6, 16.3, 31.6, 3.48, 254.6, 212, 17.5, 
9, 15, 1991, Lightning, 213, 339, 368, eco14, 4, 1, 213, InitialAttack, 1, 0.8, 0.42, 0.42, 131, 131, 0.7, 0, 1, 0, 0.07, 0, 0, 21, 18.3, 27.4, 25.5, 0, 1.9, 0.56, 41.6, 0, 0, 
10, 16, 1991, Accidental, 257, 383, 404, eco17, 9.9, 1, 257, InitialAttack, 1, 0.8, 7, 7, 6106, 6106, 4.3, 0, 1, 0, 0.91, 1, 11, 6, 140.9, 41.8, 23.2, 1.9, 16.7, 0.77, 64.7, 0, 0, 
11, 17, 1991, Accidental, 217, 439, 434, eco108, 31.2, 1, 217, InitialAttack, 58, 47, 6.97, 16.26, 7476, 31808, 26.7, 0, 0.84, 0.16, 0.88, 0.95, 515, 486, 8069.5, 3083.1, 1746, 263.8, 1073.3, 59.08, 4739.3, 217, 31.2, 
12, 18, 1991, Accidental, 220, 421, 416, eco100, 12.2, 2, 221, Weather, 1, 0.8, 0.58, 0.58, 225, 225, 0.9, 0, 1, 0, 0.01, 0, 0, 8, 2.1, 44.9, 42.6, 0, 2.3, 0.92, 68, 0, 0, 
13, 19, 1991, Lightning, 189, 338, 400, eco39, 4.2, 1, 189, InitialAttack, 1, 0.8, 2.07, 2.07, 1182, 1182, 2, 0, 1, 0, 0.25, 0, 4, 19, 56.5, 33.1, 24.8, 0, 8.3, 0.63, 51, 0, 0, 
