SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
1, 284, 26, 1, 1, 0, 0, 1, 
1, 285, 28.7, 0, 0, 0, 0, 1, 
1, 286, 19.7, 0, 0, 0, 0, 1, 
1, 289, 46.9, 0, 0, 1, 1, 0, 
2, 242, 22.5, 1, 1, 0, 0, 1, 
2, 243, 19.3, 0, 0, 0, 0, 1, 
12, 238, 0, 0, 0, 1, 1, 0, 
12, 247, 13, 1, 1, 0, 0, 0, 
12, 250, 20.4, 1, 1, 0, 0, 1, 
12, 292, 0, 1, 1, 0, 0, 0, 
13, 212, 14.5, 0, 0, 1, 1, 0, 
15, 213, 3.6, 1, 1, 0, 0, 0, 
16, 257, 9.7, 0, 0, 1, 1, 0, 
17, 217, 30.2, 0, 0, 1, 1, 0, 
18, 220, 9.3, 0, 0, 1, 1, 1, 
19, 189, 5.2, 1, 1, 0, 0, 0, 
22, 248, 7.8, 1, 1, 0, 0, 0, 
25, 218, 26.3, 0, 0, 1, 1, 0, 
25, 249, 31.6, 1, 1, 0, 0, 0, 
27, 188, 23.9, 0, 0, 1, 1, 0, 
28, 142, 0.3, 0, 0, 1, 1, 0, 
29, 203, 9, 1, 1, 0, 0, 0, 
29, 222, 18, 0, 0, 1, 1, 0, 
30, 241, 21.5, 1, 1, 0, 0, 1, 
30, 242, 22.5, 0, 0, 0, 0, 1, 
30, 243, 19.3, 0, 0, 0, 0, 1, 
30, 244, 22.3, 0, 0, 0, 0, 1, 
30, 245, 26.5, 0, 0, 0, 0, 1, 
30, 246, 22.1, 0, 0, 0, 0, 1, 
30, 247, 21, 0, 0, 0, 0, 1, 
30, 248, 21.3, 0, 0, 0, 0, 1, 
30, 249, 22.3, 0, 0, 0, 0, 1, 
30, 250, 26, 0, 0, 0, 0, 1, 
30, 251, 22.8, 0, 0, 0, 0, 1, 
32, 273, 0, 1, 1, 0, 0, 0, 
37, 223, 25.6, 0, 0, 1, 1, 0, 
38, 157, 10.6, 0, 0, 1, 1, 0, 
38, 241, 17.7, 0, 0, 1, 1, 0, 
38, 250, 31.2, 1, 1, 0, 0, 1, 
38, 251, 4.4, 0, 0, 0, 0, 1, 
39, 245, 8.7, 0, 0, 1, 1, 0, 
