statistic,value,label
ignition_attempts_per_year,0.675,pass5_s6666
fires_per_attempt,1,pass5_s6666
days_active_median,1,pass5_s6666
days_active_p90,3,pass5_s6666
days_active_max,12,pass5_s6666
mean_ros_median_m_min,1.84,pass5_s6666
max_ros_p90_m_min,17.904,pass5_s6666
mean_intensity_median_kW_m,1182,pass5_s6666
max_intensity_p90_kW_m,31187,pass5_s6666
fraction_cells_passive_crown,0.821403125,pass5_s6666
fraction_cells_active_crown,0.05558125,pass5_s6666
canopy_mortality_mean,0.539,pass5_s6666
cells_per_fire_day_median,24.5,pass5_s6666
cells_per_fire_day_p90,202.8,pass5_s6666
burn_hours_median,5.75,pass5_s6666
ignition_fwi_median,15.1,pass5_s6666
end_weather,0.0740740740740741,pass5_s6666
end_fuel_limited,0,pass5_s6666
end_season_end,0,pass5_s6666
