statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.675,1.01432622053743,pass5_s6666
lightning_fires_per_year,0.245861963738911,0.325,1.32187994864113,pass5_s6666
fire_size_median,1,1,1,pass5_s6666
fire_size_p90,1,331.6,331.6,pass5_s6666
fraction_fires_gt10,0.0295566502463054,0.333333333333333,11.2777777777778,pass5_s6666
fraction_fires_gt100,0.0167487684729064,0.222222222222222,13.2679738562092,pass5_s6666
annual_fraction_burned_fpa,0.00255391986643236,0.00855981168414295,3.35163675127379,pass5_s6666
annual_fraction_burned_mtbs,0.003639630975609,0.00855981168414295,2.3518350463293,pass5_s6666
ignition_doy_median,221,241,1.09049773755656,pass5_s6666
ignition_doy_p10,176,188.6,1.07159090909091,pass5_s6666
ignition_doy_p90,265,277.4,1.04679245283019,pass5_s6666
fraction_area_high_severity_mtbs,0.418807906637985,0.468340625,1.11827073361543,pass5_s6666
