EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 1, 284, 24.4, 7.6, 45, 36.5, 12.02, 7632, no, 
1, 1, 285, 31.1, 11.2, 87, 106.9, 17.02, 16313, yes, 
1, 1, 286, 18.3, 4.4, 5, 111, 6.45, 3517, yes, 
1, 1, 287, 18.9, 4.7, 6, 115.8, 1.06, 356, yes, 
2, 1, 289, 45.7, 16, 29, 23.5, 19.23, 16942, no, 
3, 2, 242, 22.7, 6.7, 197, 159.6, 11.22, 9828, no, 
3, 2, 243, 19.5, 5, 156, 285.9, 7.62, 6103, yes, 
3, 2, 244, 18.3, 4.4, 126, 388, 10.33, 8315, yes, 
4, 12, 238, 0.2, 0, 1, 0.8, 0, 0, no, 
5, 12, 247, 9.7, 0, 1, 0.8, 0, 0, no, 
6, 12, 250, 22.6, 6.7, 65, 52.7, 16.08, 26282, no, 
6, 12, 251, 23.3, 7.1, 365, 348.3, 22.67, 35294, yes, 
7, 12, 292, 0, 0, 1, 0.8, 0, 0, no, 
8, 13, 212, 17.5, 4, 4, 3.2, 2.58, 2004, no, 
9, 15, 213, 4, 0, 1, 0.8, 0, 0, no, 
10, 16, 257, 9.9, 0, 1, 0.8, 0, 0, no, 
11, 17, 217, 31.2, 11.3, 58, 47, 16.17, 23580, no, 
12, 18, 220, 12.2, 1.1, 1, 0.8, 0, 0, no, 
13, 19, 189, 4.2, 0, 1, 0.8, 0, 0, no, 
14, 22, 248, 7.3, 0, 1, 0.8, 0, 0, no, 
15, 25, 218, 25.8, 8.4, 1, 0.8, 0, 0, no, 
16, 25, 249, 31.1, 11.2, 1, 0.8, 0, 0, no, 
17, 27, 188, 21.5, 6.1, 112, 90.7, 10.63, 13269, no, 
18, 28, 142, 0.3, 0, 1, 0.8, 0, 0, no, 
19, 29, 203, 8.2, 0, 1, 0.8, 0, 0, no, 
20, 29, 222, 15.1, 2.7, 1, 0.8, 0, 0, no, 
21, 30, 241, 23, 6.9, 72, 58.3, 15.66, 30490, no, 
21, 30, 242, 23.3, 7.1, 200, 220.3, 12.95, 27723, yes, 
21, 30, 243, 20.2, 5.4, 46, 257.6, 5.7, 7806, yes, 
21, 30, 244, 23.6, 7.2, 137, 368.6, 21.3, 48933, yes, 
21, 30, 245, 27.9, 9.5, 351, 652.9, 33.22, 56836, yes, 
21, 30, 246, 22.8, 6.8, 204, 818.1, 8.4, 14207, yes, 
21, 30, 247, 22.8, 6.8, 215, 992.3, 8.65, 17508, yes, 
21, 30, 248, 23.1, 7, 133, 1100, 16.06, 30461, yes, 
21, 30, 249, 23.2, 7, 76, 1161.5, 7.01, 12138, yes, 
21, 30, 250, 26.4, 8.7, 145, 1279, 18.96, 38418, yes, 
21, 30, 251, 24.4, 7.6, 51, 1320.3, 9.62, 18705, yes, 
21, 30, 252, 18.9, 4.7, 8, 1326.8, 4.63, 7338, yes, 
22, 32, 273, 0, 0, 1, 0.8, 0, 0, no, 
23, 37, 223, 37, 14.4, 20, 16.2, 6.65, 9567, no, 
24, 38, 157, 11.4, 0, 1, 0.8, 0, 0, no, 
25, 38, 241, 18.9, 4.7, 5, 4.1, 2.27, 2133, no, 
26, 38, 250, 35.3, 13.5, 266, 215.5, 14.05, 30773, no, 
27, 39, 245, 11.7, 0, 1, 0.8, 0, 0, no, 
