statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass5_s6666
active_cells,9346,9346,1,pass5_s6666
cells_per_year_mean,78.2125,80,1.02285440306856,pass5_s6666
cells_per_year_median,0,0,,pass5_s6666
cells_per_year_p90,59.8000000000002,182,3.04347826086956,pass5_s6666
cells_per_year_max,1328,1638,1.23343373493976,pass5_s6666
fraction_years_with_fire,0.3875,0.475,1.2258064516129,pass5_s6666
annual_fraction_burned,0.00836855339182538,0.00855981168414295,1.02285440306856,pass5_s6666
rotation_years,119.494965638485,116.825,0.977656249999999,pass5_s6666
fires_per_year,0.4875,0.675,1.38461538461538,pass5_s6666
fire_size_median,12,1,0.0833333333333333,pass5_s6666
fire_size_p90,621.400000000001,331.6,0.53363373028645,pass5_s6666
fire_size_max,1283,1638,1.27669524551832,pass5_s6666
fraction_fires_gt10,0.512820512820513,0.333333333333333,0.65,pass5_s6666
fraction_fires_gt100,0.17948717948718,0.222222222222222,1.23809523809523,pass5_s6666
