SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,
1, 1991, 2, 2, 1, 1, 172, 139.3, 115.8, 0.38, 0.54, 284, 289, 6096, 7571, 169.4, 11221, 2, 5.1, 46.9, 
2, 1991, 1, 1, 1, 0, 479, 388, 388, 0.27, 0.81, 242, 242, 28830, 22048, 472, 33045, 1, 5.3, 26.5, 
3, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8, 29.6, 
4, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1, 25.5, 
5, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1, 25.6, 
6, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
7, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 19.7, 
8, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 21.3, 
9, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
10, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16.4, 
11, 1991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3, 26.5, 
12, 1991, 4, 4, 3, 1, 433, 350.7, 348.3, 0.63, 0.94, 238, 292, 46542, 18843, 361.2, 28965, 2, 5.5, 26.6, 
