statistic,value,label
ignition_attempts_per_year,0.5375,pass6_pooled
fires_per_attempt,1,pass6_pooled
days_active_median,1,pass6_pooled
days_active_p90,2,pass6_pooled
days_active_max,8,pass6_pooled
mean_ros_median_m_min,0.635,pass6_pooled
max_ros_p90_m_min,17.17,pass6_pooled
mean_intensity_median_kW_m,165.5,pass6_pooled
max_intensity_p90_kW_m,31076,pass6_pooled
fraction_cells_passive_crown,0.876450480695864,pass6_pooled
fraction_cells_active_crown,0.0232794140088509,pass6_pooled
canopy_mortality_mean,0.501913627346254,pass6_pooled
cells_per_fire_day_median,1,pass6_pooled
cells_per_fire_day_p90,163.6,pass6_pooled
burn_hours_median,3.5,pass6_pooled
ignition_fwi_median,13.25,pass6_pooled
end_weather,0.0116279069767442,pass6_pooled
end_fuel_limited,0,pass6_pooled
end_season_end,0,pass6_pooled
