EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,seed
1,3,154,5.9,0,1,0.8,0,0,no,3333
2,4,219,15.2,2.7,10,8.1,4.54,5924,no,3333
3,7,235,16.1,3.2,1,0.8,0,0,no,3333
4,8,257,11.1,0,1,0.8,0,0,no,3333
5,9,229,21.3,6,38,30.8,16.06,25738,no,3333
5,9,230,27.2,9.2,306,278.6,38.47,58931,yes,3333
6,13,246,40.5,16,101,81.8,32.28,39322,no,3333
6,13,247,22.2,6.4,6,86.7,3.64,3201,yes,3333
6,13,249,17.4,3.9,1,87.5,0.45,228,yes,3333
7,13,279,29.7,10.5,18,14.6,6.09,6908,no,3333
7,13,280,27.3,9.2,72,72.9,8.74,9568,yes,3333
8,13,286,24.6,7.7,67,54.3,4.79,6170,no,3333
8,13,287,28.1,9.6,163,186.3,7.96,9121,yes,3333
9,19,155,0.4,0,1,0.8,0,0,no,3333
10,20,215,21.6,6.1,77,62.4,26.28,47003,no,3333
10,20,216,14.9,2.6,20,78.6,6.75,6612,yes,3333
11,20,266,9.8,0,1,0.8,0,0,no,3333
12,23,276,5.5,0,1,0.8,0,0,no,3333
13,27,235,18.4,4.4,6,4.9,1.91,2197,no,3333
14,30,222,26.9,9,69,55.9,11.52,18440,no,3333
14,30,223,30.6,11,259,265.7,26.01,44993,yes,3333
14,30,224,25.1,8,299,507.9,13.68,21649,yes,3333
15,31,231,16.9,3.6,39,31.6,13.16,26244,no,3333
16,34,261,10.4,0,1,0.8,0,0,no,3333
17,35,214,24.5,7.7,36,29.2,10.48,11330,no,3333
17,35,215,24.9,7.9,68,84.2,14.54,24411,yes,3333
17,35,216,27.4,9.3,193,240.6,14.77,32698,yes,3333
18,35,239,33.7,12.6,29,23.5,8.71,10520,no,3333
18,35,240,16.5,3.4,8,30,1.75,2330,yes,3333
19,35,285,22.3,6.5,1,0.8,0,0,no,3333
20,35,290,29.4,10.3,4,3.2,1.49,1284,no,3333
21,35,293,39.5,15.7,1,0.8,0,0,no,3333
22,37,233,18.6,4.6,5,4.1,2.14,1638,no,3333
23,41,242,32.8,12.2,123,99.6,16.73,10960,no,4444
23,41,243,26.7,8.9,74,159.6,12.53,16149,yes,4444
24,45,193,0,0,1,0.8,0,0,no,4444
25,48,180,19.6,5.1,50,40.5,25.08,46361,no,4444
25,48,181,20.5,5.6,169,177.4,18.84,23808,yes,4444
26,48,234,32.4,11.9,348,281.9,14.3,22808,no,4444
26,48,235,21.7,6.2,51,323.2,4.41,3832,yes,4444
27,56,264,8.8,0,1,0.8,0,0,no,4444
28,57,212,18,4.2,5,4.1,0.61,269,no,4444
29,57,221,7.6,0,1,0.8,0,0,no,4444
30,57,260,17.4,3.9,1,0.8,0,0,no,4444
31,57,276,6.1,0,1,0.8,0,0,no,4444
32,61,236,8,0,1,0.8,0,0,no,4444
33,65,241,14.3,2.2,3,2.4,4.45,2995,no,4444
34,68,201,5.8,0,1,0.8,0,0,no,4444
35,68,233,13.1,1.6,1,0.8,0,0,no,4444
36,68,262,26.4,8.7,72,58.3,22.99,46233,no,4444
36,68,263,25.2,8,19,73.7,6.77,10944,yes,4444
37,69,200,16.5,3.4,9,7.3,2.77,3317,no,4444
38,69,303,0,0,1,0.8,0,0,no,4444
39,70,187,0.9,0,1,0.8,0,0,no,4444
40,71,264,24.2,7.5,7,5.7,4.32,2650,no,4444
41,74,270,0,0,1,0.8,0,0,no,4444
42,77,241,12.1,1.1,1,0.8,0,0,no,4444
43,80,295,3,0,1,0.8,0,0,no,4444
44,83,207,16.9,3.7,9,7.3,4.54,2154,no,5555
45,83,281,5,0,1,0.8,0,0,no,5555
46,85,249,39.7,15.8,230,186.3,26.57,29454,no,5555
46,85,250,31.4,11.4,86,256,12.38,8591,yes,5555
46,85,251,30.6,11,242,452,10.54,11508,yes,5555
46,85,252,36.3,14,896,1177.7,15.6,15390,yes,5555
46,85,253,18.1,4.3,18,1192.3,2.14,1701,yes,5555
46,85,254,19.4,5,37,1222.3,3.71,1389,yes,5555
46,85,255,26.8,8.9,397,1543.9,7.51,7856,yes,5555
46,85,256,36.6,14.2,1399,2677.1,15.79,19909,yes,5555
47,86,261,0.8,0,1,0.8,0,0,no,5555
48,89,191,3.3,0,1,0.8,0,0,no,5555
49,89,205,7.9,0,1,0.8,0,0,no,5555
50,91,304,0,0,1,0.8,0,0,no,5555
51,92,172,0.2,0,1,0.8,0,0,no,5555
52,95,148,0.1,0,1,0.8,0,0,no,5555
53,97,234,15.3,2.8,1,0.8,0,0,no,5555
54,98,175,13.4,1.8,1,0.8,0,0,no,5555
55,98,199,15.3,2.8,1,0.8,0,0,no,5555
56,99,228,21.7,6.2,1,0.8,0,0,no,5555
57,99,229,27.2,9.2,69,55.9,18.59,40821,no,5555
57,99,230,19.3,4.9,35,84.2,3.4,2838,yes,5555
57,99,231,20.7,5.6,75,145,3.89,3754,yes,5555
58,100,182,1.7,0,1,0.8,0,0,no,5555
59,101,182,7.7,0,1,0.8,0,0,no,5555
60,102,169,0.1,0,1,0.8,0,0,no,5555
61,103,213,12.4,1.2,4,3.2,6.09,9403,no,5555
62,103,241,22.5,6.6,1,0.8,0,0,no,5555
63,106,290,14.3,2.2,2,1.6,2.15,1042,no,5555
64,111,189,19.2,4.9,1,0.8,0,0,no,5555
65,111,223,17.9,4.1,13,10.5,2.74,4166,no,5555
66,114,183,2.1,0,1,0.8,0,0,no,5555
67,118,261,9,0,1,0.8,0,0,no,5555
68,118,271,33.5,12.5,108,87.5,17.61,36153,no,5555
69,120,280,22.4,6.6,1,0.8,0,0,no,5555
70,121,284,24.4,7.6,45,36.5,12.02,7632,no,6666
71,123,145,0.5,0,1,0.8,0,0,no,6666
72,130,146,4,0,1,0.8,0,0,no,6666
73,130,269,14.2,2.2,5,4.1,5.97,3530,no,6666
74,135,181,0.1,0,1,0.8,0,0,no,6666
75,141,300,0,0,1,0.8,0,0,no,6666
76,146,243,18.1,4.3,4,3.2,3.78,5664,no,6666
77,147,123,3.5,0,1,0.8,0,0,no,6666
78,149,140,0,0,1,0.8,0,0,no,6666
79,149,222,14.3,2.2,1,0.8,0,0,no,6666
80,150,242,23.4,7.1,1,0.8,0,0,no,6666
81,152,158,12.5,1.3,1,0.8,0,0,no,6666
82,152,167,6.6,0,1,0.8,0,0,no,6666
83,154,229,11.4,0,1,0.8,0,0,no,6666
84,156,159,7.6,0,1,0.8,0,0,no,6666
85,159,193,7.4,0,1,0.8,0,0,no,6666
86,160,273,0,0,1,0.8,0,0,no,6666
