SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,seed
3,154,5.4,0,0,1,1,0,3333
4,219,19.1,1,1,0,0,0,3333
7,235,19,1,1,0,0,0,3333
8,257,9.2,0,0,1,1,0,3333
9,229,23.6,1,1,0,0,1,3333
9,230,30.5,0,0,0,0,1,3333
13,246,35.8,1,1,0,0,1,3333
13,247,19,0,0,0,0,1,3333
13,248,17.1,0,0,0,0,1,3333
13,279,29.1,0,0,1,1,1,3333
13,286,24.8,1,1,0,0,1,3333
19,155,1.5,0,0,1,1,0,3333
20,215,18.7,1,1,0,0,1,3333
20,266,6,0,0,1,1,0,3333
23,276,4.8,0,0,1,1,0,3333
27,235,17.2,0,0,1,1,0,3333
30,222,27.7,0,0,1,1,1,3333
30,223,31.6,0,0,0,0,1,3333
30,224,29,0,0,0,0,1,3333
31,231,20.8,0,0,1,1,1,3333
34,261,10.7,0,0,1,1,0,3333
35,214,24.2,0,0,1,1,1,3333
35,215,25.9,0,0,0,0,1,3333
35,216,25.1,0,0,0,0,1,3333
35,217,12.6,0,0,0,0,1,3333
35,239,27.1,0,0,1,1,1,3333
35,285,23.9,0,0,1,1,0,3333
35,290,29.7,0,0,1,1,0,3333
35,293,42.8,0,0,1,1,0,3333
37,233,12.9,0,0,1,1,0,3333
41,242,38.2,0,0,1,1,1,4444
45,193,0,1,1,0,0,0,4444
48,180,19.1,0,0,1,1,1,4444
48,181,20.5,0,0,0,0,1,4444
48,234,29.1,1,1,0,0,1,4444
56,264,9.1,0,0,1,1,0,4444
57,212,16.9,1,1,0,0,0,4444
57,221,9.6,0,0,1,1,0,4444
57,260,21.6,0,0,1,1,0,4444
57,276,6,0,0,1,1,0,4444
61,236,6.5,0,0,1,1,0,4444
65,241,20.9,0,0,1,1,0,4444
68,201,4.4,0,0,1,1,0,4444
68,233,16.1,0,0,1,1,0,4444
68,262,23.6,1,1,0,0,1,4444
69,200,20.1,0,0,1,1,0,4444
69,303,0,0,0,1,1,0,4444
70,187,0.7,1,1,0,0,0,4444
71,264,22.7,0,0,1,1,0,4444
74,270,0.1,1,1,0,0,0,4444
77,241,12.7,0,0,1,1,0,4444
80,295,3.5,0,0,1,1,0,4444
83,207,17.6,1,1,0,0,0,5555
83,281,4.4,0,0,1,1,0,5555
85,249,35.8,0,0,1,1,1,5555
85,250,28.8,0,0,0,0,1,5555
85,251,28.4,0,0,0,0,1,5555
85,252,32.3,0,0,0,0,1,5555
85,253,17.1,0,0,0,0,1,5555
85,254,18.9,0,0,0,0,1,5555
85,255,24.8,0,0,0,0,1,5555
86,261,2.6,0,0,1,1,0,5555
89,191,2.8,1,1,0,0,0,5555
89,205,5.3,0,0,1,1,0,5555
91,304,0,0,0,1,1,0,5555
92,172,0.1,0,0,1,1,0,5555
95,148,0,1,1,0,0,0,5555
97,234,15,1,1,0,0,0,5555
98,175,12.5,1,1,0,0,0,5555
98,199,16.3,0,0,1,1,0,5555
99,228,19.4,1,1,0,0,0,5555
99,229,22.3,0,0,1,1,1,5555
99,230,15.9,0,0,0,0,1,5555
100,182,1.3,0,0,1,1,0,5555
101,182,9.2,0,0,1,1,0,5555
102,169,0.2,0,0,1,1,0,5555
103,213,16.5,1,1,0,0,1,5555
103,241,14.8,1,1,0,0,0,5555
106,290,11.5,0,0,1,1,0,5555
111,189,19.5,1,1,0,0,0,5555
111,223,13.7,0,0,1,1,0,5555
114,183,2,0,0,1,1,0,5555
118,261,6.9,0,0,1,1,0,5555
118,271,32.6,1,1,0,0,1,5555
120,280,23.3,0,0,1,1,0,5555
121,284,26,1,1,0,0,0,6666
123,145,0.4,0,0,1,1,0,6666
130,146,2.9,1,1,0,0,0,6666
130,269,14.9,1,1,0,0,0,6666
135,181,0,1,1,0,0,0,6666
141,300,0,0,0,1,1,0,6666
146,243,14.4,0,0,1,1,1,6666
147,123,2.7,0,0,1,1,0,6666
149,140,0,1,1,0,0,0,6666
149,222,18,0,0,1,1,0,6666
150,242,22.5,1,1,0,0,0,6666
152,158,13.9,1,1,0,0,0,6666
152,167,5.3,0,0,1,1,0,6666
154,229,10.5,1,1,0,0,0,6666
156,159,7.3,0,0,1,1,0,6666
159,193,4.7,0,0,1,1,0,6666
160,273,0,1,1,0,0,0,6666
