statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.5375,0.807704212650179,pass6_pooled
lightning_fires_per_year,0.245861963738911,0.19375,0.788043815536059,pass6_pooled
fire_size_median,1,1,1,pass6_pooled
fire_size_p90,1,143.5,143.5,pass6_pooled
fraction_fires_gt10,0.0295566502463054,0.209302325581395,7.08139534883721,pass6_pooled
fraction_fires_gt100,0.0167487684729064,0.127906976744186,7.63679890560876,pass6_pooled
annual_fraction_burned_fpa,0.00255391986643236,0.0043822223411085,1.71588090867947,pass6_pooled
annual_fraction_burned_mtbs,0.003639630975609,0.0043822223411085,1.20402930145281,pass6_pooled
ignition_doy_median,221,233,1.05429864253394,pass6_pooled
ignition_doy_p10,176,163,0.926136363636364,pass6_pooled
ignition_doy_p90,265,284.5,1.07358490566038,pass6_pooled
fraction_area_high_severity_mtbs,0.418807906637985,0.465934686403174,1.11252600301533,pass6_pooled
