SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,seed
61,2017,1,1,0,1,1,0.8,0.8,0,0,236,236,5,15,0.3,22,0,6.5,43.2,4444
62,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,33.7,4444
63,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,43.2,4444
64,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,14.2,4444
65,2017,1,1,0,1,3,2.4,2.4,1,1,241,241,393,128,2.4,197,1,6.1,25.5,4444
66,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,46.9,4444
67,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,4444
68,2017,3,3,1,2,93,75.3,73.7,0.61,0.95,201,262,12065,5538,110.5,8438,3,7.9,29,4444
69,2017,2,2,0,2,10,8.1,7.3,0.3,0.8,200,303,1030,493,9.5,756,1,7.8,29.6,4444
70,2017,1,1,1,0,1,0.8,0.8,0,0,187,187,29,35,0.7,52,0,6.8,28.5,4444
71,2017,1,1,0,1,7,5.7,5.7,0.43,1,264,264,551,295,6.3,443,1,7.9,29,4444
72,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,4444
73,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,4444
74,2017,1,1,1,0,1,0.8,0.8,0,0,270,270,19,32,0.7,48,0,2.8,14.2,4444
75,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,30.5,4444
76,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,30.5,4444
77,2017,1,1,0,1,1,0.8,0.8,0,1,241,241,14,16,0.4,24,1,4.4,18.3,4444
78,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,25.7,4444
79,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,4444
80,2017,1,1,0,1,1,0.8,0.8,0,0,295,295,1,5,0.1,7,0,2.5,19.7,4444
81,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,21.3,5555
82,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,21.8,5555
83,1996,2,2,1,1,10,8.1,7.3,0.1,0.9,207,281,534,296,5.8,453,1,4.8,35.8,5555
84,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,44.5,5555
85,1996,1,1,0,1,3305,2677.1,2677.1,0.42,0.9,249,249,269777,197150,4246.6,295028,1,9.1,44.5,5555
86,1996,1,1,0,1,1,0.8,0.8,0,0,261,261,21,23,0.5,34,0,5.5,26.6,5555
87,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,25.5,5555
88,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,25.6,5555
89,1996,2,2,1,1,2,1.6,0.8,0,0.5,191,205,15,28,0.7,42,1,3.7,22.5,5555
90,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,30.2,5555
91,1996,1,1,0,1,1,0.8,0.8,0,0,304,304,15,20,0.5,30,0,4,22.8,5555
92,1996,1,1,0,1,1,0.8,0.8,0,0,172,172,16,26,0.6,39,0,3.7,22.5,5555
93,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,38.2,5555
94,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,32.5,5555
95,1996,1,1,1,0,1,0.8,0.8,0,0,148,148,2,10,0.2,15,0,3.1,25.6,5555
96,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,5555
97,1996,1,1,1,0,1,0.8,0.8,0,0,234,234,2,76,1.9,108,1,4.7,29.2,5555
98,1996,2,2,1,1,2,1.6,0.8,0,0,175,199,16,62,1.4,92,2,7.8,29.6,5555
99,1996,2,2,1,1,180,145.8,145,0.24,0.74,228,229,13526,12598,268.9,18895,2,6.8,34.1,5555
100,1996,1,1,0,1,1,0.8,0.8,0,0,182,182,22,34,0.7,52,0,6.8,34.1,5555
101,1996,1,1,0,1,1,0.8,0.8,0,0,182,182,16,28,0.6,42,1,4,22.8,5555
102,1996,1,1,0,1,1,0.8,0.8,0,0,169,169,15,16,0.3,24,0,3.7,21.3,5555
103,1996,2,2,2,0,5,4.1,3.2,0.6,0.8,213,241,514,190,3.4,297,2,4.6,25.3,5555
104,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,19.7,5555
105,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26.5,5555
106,1996,1,1,0,1,2,1.6,1.6,0,1,290,290,63,113,2.4,170,1,6.8,28.5,5555
107,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,23.3,5555
108,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,5555
109,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,42.8,5555
110,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,5555
111,1996,2,2,1,1,14,11.3,10.5,0.36,0.79,189,223,1840,1094,22.4,1657,2,7.8,29.6,5555
112,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,29,5555
113,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.9,5555
114,1996,1,1,0,1,1,0.8,0.8,0,0,183,183,15,30,0.6,45,0,3.1,23.3,5555
115,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,32.5,5555
116,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,5555
117,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17.4,5555
118,1996,2,2,1,1,109,88.3,87.5,0.72,0.94,261,271,20226,9261,193.2,13966,1,11.8,42.8,5555
119,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,16.6,5555
120,1996,1,1,0,1,1,0.8,0.8,0,0,280,280,14,90,2.1,132,1,7.9,29,5555
121,1991,1,1,1,0,45,36.5,36.5,0.53,0.8,284,284,1878,1942,43.1,2885,1,5.1,46.9,6666
122,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26.5,6666
123,1991,1,1,0,1,1,0.8,0.8,0,0,145,145,0,13,0.3,18,0,7.8,29.6,6666
124,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,25.5,6666
125,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,25.6,6666
126,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,6666
127,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,19.7,6666
128,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,21.3,6666
129,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,25.2,6666
130,1991,2,2,2,0,6,4.9,4.1,0.33,0.83,146,269,353,205,4,314,2,4,16.4,6666
131,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26.5,6666
132,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,26.6,6666
133,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,29.2,6666
134,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,35.8,6666
