SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
3, 19, 0, 0, 0, 1, 1, 0, 
3, 182, 4.8, 0, 0, 1, 1, 0, 
4, 17, 0, 0, 0, 1, 1, 0, 
4, 233, 27, 0, 0, 1, 1, 1, 
4, 234, 32.6, 0, 0, 1, 1, 2, 
4, 235, 29, 0, 0, 0, 0, 2, 
4, 236, 21.1, 0, 0, 0, 0, 2, 
4, 237, 16.3, 0, 0, 0, 0, 2, 
4, 238, 17.1, 0, 0, 0, 0, 2, 
4, 239, 19.9, 0, 0, 0, 0, 2, 
4, 240, 30.7, 0, 0, 0, 0, 2, 
4, 241, 44.5, 0, 0, 0, 0, 2, 
4, 242, 14.4, 0, 0, 0, 0, 2, 
4, 243, 7.9, 0, 0, 0, 0, 1, 
4, 244, 21.1, 0, 0, 0, 0, 1, 
4, 245, 24.2, 0, 0, 0, 0, 1, 
4, 246, 31, 0, 0, 0, 0, 1, 
4, 247, 32.3, 0, 0, 0, 0, 1, 
4, 248, 35.8, 0, 0, 0, 0, 1, 
4, 249, 35.8, 0, 0, 0, 0, 1, 
4, 250, 28.8, 0, 0, 1, 0, 1, 
4, 251, 28.4, 0, 0, 0, 0, 1, 
4, 252, 32.3, 0, 0, 0, 0, 1, 
4, 253, 17.1, 0, 0, 0, 0, 1, 
4, 254, 18.9, 0, 0, 0, 0, 1, 
4, 255, 24.8, 0, 0, 0, 0, 1, 
4, 256, 34.9, 0, 0, 0, 0, 1, 
4, 257, 17.5, 0, 0, 0, 0, 1, 
4, 258, 0.1, 0, 0, 0, 0, 1, 
6, 278, 0.1, 0, 0, 1, 1, 0, 
9, 219, 0, 1, 1, 0, 0, 0, 
10, 195, 16.1, 0, 0, 1, 1, 0, 
13, 316, 0, 0, 0, 1, 1, 0, 
17, 37, 0, 0, 0, 1, 1, 0, 
18, 153, 0, 0, 0, 1, 1, 0, 
19, 148, 4.5, 0, 0, 1, 1, 0, 
20, 238, 10.7, 1, 1, 0, 0, 0, 
23, 149, 10.2, 1, 1, 0, 0, 0, 
25, 52, 0, 0, 0, 1, 1, 0, 
29, 281, 23.7, 0, 0, 1, 1, 1, 
29, 282, 23.7, 0, 0, 0, 0, 1, 
29, 283, 36.8, 0, 0, 0, 0, 1, 
29, 284, 22.5, 0, 0, 0, 0, 1, 
29, 285, 23.9, 0, 0, 0, 0, 1, 
29, 286, 24.8, 0, 0, 0, 0, 1, 
29, 287, 28.6, 0, 0, 0, 0, 1, 
29, 288, 41.1, 0, 0, 0, 0, 1, 
29, 289, 33.1, 0, 0, 0, 0, 1, 
29, 290, 29.7, 0, 0, 0, 0, 1, 
29, 291, 26.4, 0, 0, 0, 0, 1, 
29, 292, 28.9, 0, 0, 0, 0, 1, 
29, 293, 42.8, 0, 0, 0, 0, 1, 
29, 294, 25.3, 0, 0, 0, 0, 1, 
29, 295, 0.2, 0, 0, 0, 0, 1, 
31, 241, 11.3, 0, 0, 1, 1, 0, 
38, 54, 0, 0, 0, 1, 1, 0, 
40, 270, 16.2, 0, 0, 1, 1, 0, 
