SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,
1, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 21.3, 
2, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 21.8, 
3, 1996, 2, 2, 0, 2, 2, 1.6, 0.8, 0, 0, 19, 182, 7, 34, 0.8, 50, 0, 2.5, 35.8, 
4, 1996, 4, 3, 0, 3, 6238, 5052.8, 4305.2, 0.45, 0.83, 17, 234, 482001, 324692, 7027.5, 485311, 0, 4.7, 44.5, 
5, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7, 44.5, 
6, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 278, 278, 0, 23, 0.6, 33, 0, 2.9, 26.6, 
7, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3, 25.5, 
8, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 25.6, 
9, 1996, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 219, 219, 0, 10, 0.3, 14, 0, 1.9, 22.5, 
10, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 1, 195, 195, 13, 17, 0.4, 25, 1, 3.7, 30.2, 
11, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 22.8, 
12, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 22.5, 
13, 1996, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 316, 316, 13, 27, 0.5, 41, 0, 4.7, 38.2, 
14, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4, 32.5, 
15, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 25.6, 
16, 1996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 35.8, 
