statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass4_s5555
active_cells,9346,9346,1,pass4_s5555
cells_per_year_mean,78.2125,224.45,2.86974588460924,pass4_s5555
cells_per_year_median,0,0,,pass4_s5555
cells_per_year_p90,59.8000000000002,1,0.0167224080267558,pass4_s5555
cells_per_year_max,1328,6238,4.69728915662651,pass4_s5555
fraction_years_with_fire,0.3875,0.4,1.03225806451613,pass4_s5555
annual_fraction_burned,0.00836855339182538,0.0240156216563236,2.86974588460924,pass4_s5555
rotation_years,119.494965638485,41.6395633771441,0.348462909333927,pass4_s5555
fires_per_year,0.4875,0.475,0.974358974358974,pass4_s5555
fire_size_median,12,1,0.0833333333333333,pass4_s5555
fire_size_p90,621.400000000001,1282.6,2.0640489217895,pass4_s5555
fire_size_max,1283,5315,4.14263445050663,pass4_s5555
fraction_fires_gt10,0.512820512820513,0.157894736842105,0.307894736842105,pass4_s5555
fraction_fires_gt100,0.17948717948718,0.157894736842105,0.879699248120298,pass4_s5555
