statistic,value,label
ignition_attempts_per_year,0.5,pass4_s5555
fires_per_attempt,0.95,pass4_s5555
days_active_median,1,pass4_s5555
days_active_p90,12,pass4_s5555
days_active_max,26,pass4_s5555
mean_ros_median_m_min,0,pass4_s5555
max_ros_p90_m_min,35.616,pass4_s5555
mean_intensity_median_kW_m,0,pass4_s5555
max_intensity_p90_kW_m,49911.4,pass4_s5555
fraction_cells_passive_crown,0.782796836711963,pass4_s5555
fraction_cells_active_crown,0.0189830697259969,pass4_s5555
canopy_mortality_mean,0.414528848295834,pass4_s5555
cells_per_fire_day_median,50,pass4_s5555
cells_per_fire_day_p90,469.7,pass4_s5555
burn_hours_median,7.3,pass4_s5555
ignition_fwi_median,1.3,pass4_s5555
end_weather,0.157894736842105,pass4_s5555
end_fuel_limited,0,pass4_s5555
end_season_end,0,pass4_s5555
