EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 3, 19, 0, 0, 1, 0.8, 0, 0, no, 
2, 3, 182, 5.2, 0, 1, 0.8, 0, 0, no, 
3, 4, 17, 0, 0, 1, 0.8, 0, 0, no, 
4, 4, 233, 27.5, 9.3, 19, 15.4, 5.78, 5976, no, 
4, 4, 234, 29.4, 10.3, 147, 134.5, 9.85, 11056, yes, 
5, 4, 234, 36.6, 14.2, 440, 356.4, 22.95, 25426, no, 
4, 4, 235, 26.9, 9, 105, 219.5, 11.02, 8793, yes, 
5, 4, 235, 33, 12.2, 241, 551.6, 18.85, 22984, yes, 
4, 4, 236, 19.4, 5, 26, 240.6, 3.29, 2950, yes, 
5, 4, 236, 23.7, 7.3, 152, 674.7, 9.3, 6401, yes, 
4, 4, 237, 17.5, 3.9, 4, 243.8, 1.24, 1045, yes, 
5, 4, 237, 16.7, 3.5, 7, 680.4, 1.9, 1540, yes, 
4, 4, 238, 17.5, 4, 3, 246.2, 1.29, 561, yes, 
5, 4, 238, 17.8, 4.1, 2, 682, 1.27, 367, yes, 
4, 4, 239, 20.2, 5.4, 19, 261.6, 3.6, 3781, yes, 
5, 4, 239, 19.4, 4.9, 8, 688.5, 1.54, 543, yes, 
4, 4, 240, 30.7, 11, 126, 363.7, 9.83, 10377, yes, 
5, 4, 240, 30, 10.7, 232, 876.4, 19.04, 16366, yes, 
4, 4, 241, 42.7, 16, 473, 746.8, 38.92, 49788, yes, 
5, 4, 241, 47.1, 16, 823, 1543.1, 40.88, 50405, yes, 
5, 4, 242, 20.1, 5.3, 1, 1543.9, 1.8, 887, yes, 
5, 4, 244, 20.9, 5.7, 37, 1573.8, 4.97, 4712, yes, 
5, 4, 245, 27.1, 9.1, 163, 1705.9, 9.88, 7957, yes, 
5, 4, 246, 32.6, 12, 271, 1925.4, 13.46, 15795, yes, 
5, 4, 247, 32.8, 12.1, 331, 2193.5, 14.18, 11241, yes, 
5, 4, 248, 38.8, 15.4, 853, 2884.4, 21.59, 24845, yes, 
5, 4, 249, 39.7, 15.8, 752, 3493.5, 27.22, 32398, yes, 
5, 4, 250, 31.4, 11.4, 121, 3591.5, 8.18, 6625, yes, 
5, 4, 251, 30.6, 11, 87, 3662, 8.13, 8263, yes, 
5, 4, 252, 36.3, 14, 193, 3818.3, 12.24, 14597, yes, 
5, 4, 253, 18.1, 4.3, 6, 3823.2, 2.21, 1017, yes, 
5, 4, 254, 19.4, 5, 16, 3836.2, 4.06, 2309, yes, 
5, 4, 255, 26.8, 8.9, 63, 3887.2, 5.83, 5705, yes, 
5, 4, 256, 36.6, 14.2, 484, 4279.2, 15.1, 13234, yes, 
5, 4, 257, 26.6, 8.8, 32, 4305.2, 3.26, 2756, yes, 
6, 6, 278, 0.2, 0, 1, 0.8, 0, 0, no, 
7, 9, 219, 0, 0, 1, 0.8, 0, 0, no, 
8, 10, 195, 13.3, 1.7, 1, 0.8, 0, 0, no, 
9, 13, 316, 0, 0, 1, 0.8, 0, 0, no, 
10, 17, 37, 0, 0, 1, 0.8, 0, 0, no, 
11, 18, 153, 0, 0, 1, 0.8, 0, 0, no, 
12, 19, 148, 1.3, 0, 1, 0.8, 0, 0, no, 
13, 20, 238, 13.6, 1.8, 1, 0.8, 0, 0, no, 
14, 23, 149, 10, 0, 1, 0.8, 0, 0, no, 
15, 25, 52, 0, 0, 1, 0.8, 0, 0, no, 
16, 29, 281, 24.8, 7.9, 1, 0.8, 0, 0, no, 
16, 29, 282, 23.7, 7.3, 3, 3.2, 1.22, 643, yes, 
16, 29, 283, 34.1, 12.8, 145, 120.7, 12.04, 20761, yes, 
16, 29, 284, 21.8, 6.3, 66, 174.2, 2.5, 2738, yes, 
16, 29, 285, 23.6, 7.2, 113, 265.7, 4.18, 3729, yes, 
16, 29, 286, 23.8, 7.3, 126, 367.7, 4.76, 5333, yes, 
16, 29, 287, 28.1, 9.6, 159, 496.5, 7.21, 9210, yes, 
16, 29, 288, 38.1, 15, 657, 1028.7, 20.46, 43478, yes, 
16, 29, 289, 32, 11.7, 140, 1142.1, 8.12, 12764, yes, 
16, 29, 290, 29, 10.1, 112, 1232.8, 6.65, 7112, yes, 
16, 29, 291, 24.2, 7.5, 92, 1307.3, 3.42, 2447, yes, 
16, 29, 292, 25.7, 8.3, 117, 1402.1, 5.09, 5789, yes, 
16, 29, 293, 36.2, 13.9, 901, 2131.9, 34.79, 61047, yes, 
16, 29, 294, 27.8, 9.5, 93, 2207.3, 10.68, 15524, yes, 
17, 31, 241, 12.9, 1.5, 1, 0.8, 0, 0, no, 
18, 38, 54, 0, 0, 1, 0.8, 0, 0, no, 
19, 40, 270, 15.9, 3.1, 1, 0.8, 0, 0, no, 
