statistic,value,label
ignition_attempts_per_year,0.6,pass3_pooled
fires_per_attempt,0.291666666666667,pass3_pooled
days_active_median,1,pass3_pooled
days_active_p90,6.8,pass3_pooled
days_active_max,11,pass3_pooled
mean_ros_median_m_min,0.885,pass3_pooled
max_ros_p90_m_min,5.346,pass3_pooled
mean_intensity_median_kW_m,91,pass3_pooled
max_intensity_p90_kW_m,805.7,pass3_pooled
fraction_cells_passive_crown,0.0471325301204819,pass3_pooled
fraction_cells_active_crown,0.00134939759036145,pass3_pooled
canopy_mortality_mean,0.0720963855421687,pass3_pooled
cells_per_fire_day_median,9.5,pass3_pooled
cells_per_fire_day_p90,33,pass3_pooled
burn_hours_median,7.65,pass3_pooled
ignition_fwi_median,17.7,pass3_pooled
end_weather,0.25,pass3_pooled
end_fuel_limited,0,pass3_pooled
end_season_end,0,pass3_pooled
