statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.175,0.262973464583779,pass3_pooled
lightning_fires_per_year,0.245861963738911,0.05,0.20336614594479,pass3_pooled
fire_size_median,1,1,1,pass3_pooled
fire_size_p90,1,115.9,115.9,pass3_pooled
fraction_fires_gt10,0.0295566502463054,0.25,8.45833333333334,pass3_pooled
fraction_fires_gt100,0.0167487684729064,0.142857142857143,8.52941176470588,pass3_pooled
annual_fraction_burned_fpa,0.00255391986643236,0.000555050288893644,0.21733269559041,pass3_pooled
annual_fraction_burned_mtbs,0.003639630975609,0.000555050288893644,0.152501803785416,pass3_pooled
ignition_doy_median,221,238,1.07692307692308,pass3_pooled
ignition_doy_p10,176,178.4,1.01363636363636,pass3_pooled
ignition_doy_p90,265,269,1.01509433962264,pass3_pooled
fraction_area_high_severity_mtbs,0.418807906637985,0.00134939759036145,0.0032219964546368,pass3_pooled
