EventID,SimulationYear,CalendarYear,Cause,IgnitionDay,IgnitionRow,IgnitionColumn,Ecoregion,IgnitionFWI,DaysActive,EndDay,EndReason,Cells,AreaHa,MeanRos,MaxRos,MeanIntensity,MaxIntensity,MaxFlameLength,FractionSurface,FractionPassive,FractionActive,MeanCanopyMortality,FractionHighSeverity,CohortsKilled,CohortsPartial,BiomassKilledMg,ConsumptionMg,SurfaceConsumptionMg,DuffConsumptionMg,CanopyConsumptionMg,PM25Mg,CO2Mg,PeakDay,PeakDayFWI,seed
1,1,2020,Lightning,242,422,391,eco16,18.6,1,242,InitialAttack,3,2.4,0.68,0.83,70,93,0.6,1,0,0,0.11,0,0,41,34.3,128.8,105.2,23.6,0,2.87,191.1,242,18.6,3333
2,2,2020,Lightning,219,353,357,eco100,18.9,2,220,Weather,1,0.8,0.91,0.91,36,36,0.4,1,0,0,0.03,0,0,24,5.4,27.5,26.7,0.7,0,0.63,40.5,0,0,3333
3,18,2020,Accidental,133,403,430,eco16,2.4,1,133,InitialAttack,1,0.8,0.54,0.54,38,38,0.4,1,0,0,0.11,0,0,21,22.9,24.4,24.4,0,0,0.51,36.8,0,0,3333
4,35,2020,Accidental,291,346,333,eco125,29.2,5,295,Weather,112,90.7,0.98,14.58,252,17787,18.1,0.99,0,0.01,0.09,0.01,40,2611,2924.9,8048.1,5844.3,2174.9,29,188.52,11783.7,293,41.2,3333
5,38,2020,Lightning,247,381,418,eco100,16,1,247,InitialAttack,3,2.4,1.3,1.9,160,292,1.1,1,0,0,0.11,0,1,50,82.2,166.5,149.9,16.6,0,3.74,246.6,247,16,3333
6,41,2017,Lightning,216,327,414,eco40,34.5,11,226,Weather,195,158,0.86,2.76,161,534,1.4,1,0,0,0.08,0,42,4125,2286.2,8472.2,7838.9,633.3,0,168.78,12913.3,224,27.5,4444
7,42,2017,Accidental,254,439,425,eco108,17.7,1,254,InitialAttack,3,2.4,0.83,1.16,70,134,0.7,1,0,0,0.04,0,0,52,26.3,100.1,91.5,8.6,0,2.21,148.9,254,17.7,4444
8,43,2017,Accidental,286,349,397,eco14,24.8,11,296,Weather,125,101.3,1.03,3.38,103,725,1.6,0.97,0.03,0,0.05,0,8,2676,1403.6,7490.3,5058.9,2421.2,10.3,175.96,10958.3,294,22.8,4444
9,55,2017,Accidental,226,425,437,eco106,24.3,1,226,InitialAttack,1,0.8,0.63,0.63,33,33,0.4,1,0,0,0.12,0,0,15,17.4,23.6,23.6,0,0,0.52,35.1,0,0,4444
10,62,2017,Accidental,211,359,401,eco14,34.1,1,211,InitialAttack,40,32.4,1.7,6.62,260,994,1.9,0.9,0.1,0,0.06,0,21,848,715.5,1946.3,1691.1,229.2,26,42.85,2896.7,211,34.1,4444
11,65,2017,Accidental,267,432,387,eco16,17.7,1,267,InitialAttack,3,2.4,1.56,2.03,145,189,0.9,1,0,0,0.09,0,0,55,67.1,119.7,109.5,10.3,0,2.67,177.5,267,17.7,4444
12,93,1996,Accidental,197,332,378,eco14,14.9,1,197,InitialAttack,1,0.8,1.08,1.08,128,128,0.7,1,0,0,0.03,0,0,24,6.9,35.6,35.6,0,0,0.72,54.1,0,0,5555
13,95,1996,Lightning,239,328,388,eco45,19.4,1,239,InitialAttack,1,0.8,0.82,0.82,91,91,0.6,1,0,0,0.09,0,0,14,19.6,34.9,34.9,0,0,0.74,52.5,0,0,5555
14,102,1996,Accidental,237,367,412,eco100,20.8,2,238,Contained,7,5.7,0.97,2.38,110,318,1.1,0.86,0.14,0,0.06,0,2,141,109.3,291.8,264.3,25.9,1.6,6.46,433.8,238,21.9,5555
15,104,1996,Accidental,214,338,353,eco45,3.9,1,214,InitialAttack,1,0.8,1.43,1.43,194,194,0.9,1,0,0,0.09,0,1,25,16.1,38.9,38.9,0,0,0.8,59,0,0,5555
16,114,1996,Accidental,96,325,399,eco40,3.2,1,96,InitialAttack,1,0.8,0.43,0.43,62,62,0.5,1,0,0,0.08,0,0,14,18.4,43.3,43.3,0,0,0.91,65.2,0,0,5555
17,118,1996,Accidental,269,401,435,eco106,27.4,2,270,Contained,13,10.5,1,2.41,117,339,1.1,0.92,0.08,0,0.09,0,3,217,331,879.5,656.5,217.8,5.2,20.64,1287.1,270,29.6,5555
18,119,1996,Accidental,242,432,422,eco106,6,1,242,InitialAttack,1,0.8,3.5,3.5,471,471,1.3,1,0,0,0.03,0,1,26,10.3,47,44,3.1,0,1,70.6,0,0,5555
19,126,1991,Accidental,250,345,421,eco14,8,1,250,InitialAttack,1,0.8,0.49,0.49,57,57,0.5,1,0,0,0.02,0,0,20,7.8,33.5,33.5,0,0,0.7,50.4,0,0,6666
20,126,1991,Accidental,255,329,370,eco45,10.8,2,256,Weather,1,0.8,1.31,1.31,91,91,0.6,1,0,0,0.1,0,0,14,19.8,24.2,24.2,0,0,0.53,36.2,0,0,6666
21,130,1991,Lightning,227,345,431,eco14,14.6,2,228,Weather,1,0.8,0.29,0.29,37,37,0.4,0,1,0,0.03,0,0,26,9.2,36.7,33.8,1.6,1.3,0.79,54.8,0,0,6666
