statistic,value,label
ignition_attempts_per_year,0.4,pass4_s6666
fires_per_attempt,0.9375,pass4_s6666
days_active_median,1,pass4_s6666
days_active_p90,3,pass4_s6666
days_active_max,6,pass4_s6666
mean_ros_median_m_min,0,pass4_s6666
max_ros_p90_m_min,6.092,pass4_s6666
mean_intensity_median_kW_m,0,pass4_s6666
max_intensity_p90_kW_m,6299.8,pass4_s6666
fraction_cells_passive_crown,0.862694444444445,pass4_s6666
fraction_cells_active_crown,0.0291111111111111,pass4_s6666
canopy_mortality_mean,0.534277777777778,pass4_s6666
cells_per_fire_day_median,1,pass4_s6666
cells_per_fire_day_p90,63.6,pass4_s6666
burn_hours_median,0.6,pass4_s6666
ignition_fwi_median,8,pass4_s6666
end_weather,0.266666666666667,pass4_s6666
end_fuel_limited,0,pass4_s6666
end_season_end,0,pass4_s6666
