SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
6, 250, 7.8, 0, 0, 1, 1, 0, 
6, 255, 12.5, 0, 0, 1, 1, 1, 
15, 84, 0, 0, 0, 1, 1, 0, 
15, 152, 0, 0, 0, 1, 1, 0, 
17, 75, 0, 0, 0, 1, 1, 0, 
17, 229, 23.6, 0, 0, 1, 1, 1, 
17, 230, 4.9, 0, 0, 0, 0, 1, 
18, 44, 0, 0, 0, 1, 1, 0, 
18, 324, 0, 1, 1, 0, 0, 0, 
24, 234, 20.1, 0, 0, 1, 1, 1, 
24, 235, 17.2, 0, 0, 0, 0, 1, 
24, 236, 16.8, 0, 0, 0, 0, 1, 
24, 237, 20.2, 0, 0, 0, 0, 1, 
24, 238, 6.9, 0, 0, 0, 0, 1, 
26, 362, 0, 0, 0, 1, 0, 0, 
28, 300, 0, 0, 0, 1, 1, 0, 
30, 219, 19.1, 0, 0, 1, 1, 1, 
30, 220, 11.1, 0, 0, 0, 0, 1, 
31, 101, 0, 0, 0, 1, 1, 0, 
36, 235, 12.5, 0, 0, 1, 1, 0, 
38, 245, 30.2, 1, 1, 0, 0, 0, 
38, 276, 15, 0, 0, 1, 1, 0, 
