EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 6, 250, 8, 0, 1, 0.8, 0, 0, no, 
2, 6, 255, 10.8, 0, 1, 0.8, 0, 0, no, 
3, 15, 84, 0, 0, 1, 0.8, 0, 0, no, 
4, 15, 152, 0, 0, 1, 0.8, 0, 0, no, 
5, 17, 75, 0, 0, 1, 0.8, 0, 0, no, 
6, 17, 229, 34.8, 13.2, 131, 106.1, 16.72, 31528, no, 
7, 18, 44, 0.1, 0, 1, 0.8, 0, 0, no, 
8, 18, 324, 0, 0, 1, 0.8, 0, 0, no, 
9, 24, 234, 21.7, 6.2, 86, 69.7, 6.07, 8339, no, 
9, 24, 235, 18.2, 4.3, 54, 113.4, 5.43, 6215, yes, 
9, 24, 236, 17.7, 4, 26, 134.5, 4.35, 5151, yes, 
9, 24, 237, 20.6, 5.6, 49, 174.2, 7.64, 4646, yes, 
10, 28, 300, 0, 0, 1, 0.8, 0, 0, no, 
11, 30, 219, 17.6, 4, 2, 1.6, 2.17, 2357, no, 
12, 31, 101, 0, 0, 1, 0.8, 0, 0, no, 
13, 36, 235, 12.3, 1.2, 1, 0.8, 0, 0, no, 
14, 38, 245, 32.9, 12.2, 1, 0.8, 0, 0, no, 
15, 38, 276, 18.4, 4.4, 1, 0.8, 0, 0, no, 
