statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass4_s6666
active_cells,9346,9346,1,pass4_s6666
cells_per_year_mean,78.2125,9,0.115071120345213,pass4_s6666
cells_per_year_median,0,0,,pass4_s6666
cells_per_year_p90,59.8000000000002,2,0.0334448160535116,pass4_s6666
cells_per_year_max,1328,215,0.161897590361446,pass4_s6666
fraction_years_with_fire,0.3875,0.25,0.645161290322581,pass4_s6666
annual_fraction_burned,0.00836855339182538,0.000962978814466082,0.115071120345213,pass4_s6666
rotation_years,119.494965638485,1038.44444444444,8.69027777777777,pass4_s6666
fires_per_year,0.4875,0.375,0.769230769230769,pass4_s6666
fire_size_median,12,1,0.0833333333333333,pass4_s6666
fire_size_p90,621.400000000001,79.4,0.127775989700676,pass4_s6666
fire_size_max,1283,215,0.167575993764614,pass4_s6666
fraction_fires_gt10,0.512820512820513,0.133333333333333,0.26,pass4_s6666
fraction_fires_gt100,0.17948717948718,0.133333333333333,0.742857142857141,pass4_s6666
