statistic,observed,ember,ratio,label
fires_per_year,0.665466381853321,0.375,0.563514566965241,pass4_s6666
lightning_fires_per_year,0.245861963738911,0.05,0.20336614594479,pass4_s6666
fire_size_median,1,1,1,pass4_s6666
fire_size_p90,1,79.4,79.4,pass4_s6666
fraction_fires_gt10,0.0295566502463054,0.133333333333333,4.51111111111111,pass4_s6666
fraction_fires_gt100,0.0167487684729064,0.133333333333333,7.96078431372549,pass4_s6666
annual_fraction_burned_fpa,0.00255391986643236,0.000962978814466082,0.377059134518301,pass4_s6666
annual_fraction_burned_mtbs,0.003639630975609,0.000962978814466082,0.264581442712046,pass4_s6666
ignition_doy_median,221,234,1.05882352941176,pass4_s6666
ignition_doy_p10,176,78.6,0.446590909090909,pass4_s6666
ignition_doy_p90,265,290.4,1.09584905660377,pass4_s6666
fraction_area_high_severity_mtbs,0.418807906637985,0.498972222222222,1.19141070240952,pass4_s6666
