statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass3_s6666
active_cells,9346,9346,1,pass3_s6666
cells_per_year_mean,78.2125,7.95,0.101646156304938,pass3_s6666
cells_per_year_median,0,0,,pass3_s6666
cells_per_year_p90,59.8000000000002,1.1,0.0183946488294314,pass3_s6666
cells_per_year_max,1328,293,0.220632530120482,pass3_s6666
fraction_years_with_fire,0.3875,0.225,0.580645161290323,pass3_s6666
annual_fraction_burned,0.00836855339182538,0.000850631286111705,0.101646156304938,pass3_s6666
rotation_years,119.494965638485,1175.59748427673,9.8380503144654,pass3_s6666
fires_per_year,0.4875,0.25,0.512820512820513,pass3_s6666
fire_size_median,12,1,0.0833333333333333,pass3_s6666
fire_size_p90,621.400000000001,41.8999999999999,0.0674283875120693,pass3_s6666
fire_size_max,1283,293,0.228371005455963,pass3_s6666
fraction_fires_gt10,0.512820512820513,0.2,0.39,pass3_s6666
fraction_fires_gt100,0.17948717948718,0.1,0.557142857142856,pass3_s6666
