EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 6, 250, 8, 0, 1, 0.8, 0, 0, no, 
2, 6, 255, 10.8, 0, 1, 0.8, 0, 0, no, 
3, 10, 227, 14.6, 2.4, 1, 0.8, 0, 0, no, 
4, 22, 269, 10.6, 0, 1, 0.8, 0, 0, no, 
5, 25, 260, 27.6, 9.4, 4, 3.2, 0.73, 106, no, 
6, 27, 232, 26, 8.5, 35, 28.4, 3.43, 825, no, 
6, 27, 233, 31.8, 11.6, 41, 61.6, 4.44, 784, yes, 
6, 27, 234, 20.9, 5.7, 47, 99.6, 4.01, 1294, yes, 
6, 27, 235, 19.5, 5, 31, 124.7, 2.19, 905, yes, 
6, 27, 236, 21.5, 6.1, 30, 149, 3.05, 596, yes, 
6, 27, 237, 20.9, 5.8, 23, 167.7, 3.15, 1412, yes, 
6, 27, 238, 20.8, 5.7, 27, 189.5, 2.99, 1319, yes, 
6, 27, 239, 25.4, 8.2, 22, 207.4, 2.52, 837, yes, 
6, 27, 240, 29, 10.1, 37, 237.3, 13.4, 15329, yes, 
7, 30, 211, 16.6, 3.5, 1, 0.8, 0, 0, no, 
8, 31, 214, 13.8, 2, 1, 0.8, 0, 0, no, 
9, 38, 244, 31.9, 11.6, 14, 11.3, 4.8, 669, no, 
10, 39, 135, 4, 0, 1, 0.8, 0, 0, no, 
