SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,seed
1,2020,1,1,1,0,2928,2371.7,2371.7,0.19,0.59,242,242,87155,139491,3026.3,208372,0,3.5,43.2,3333
2,2020,1,1,0,1,1,0.8,0.8,0,0,186,186,22,21,0.5,32,1,2.4,21.8,3333
3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,32.5,3333
4,2020,3,3,0,3,3,2.4,0.8,0,0,180,248,3,93,2.2,137,1,2.8,26.5,3333
5,2020,1,1,0,1,1,0.8,0.8,0,1,351,351,6,9,0.2,13,1,2.6,25.3,3333
6,2020,1,1,0,1,1,0.8,0.8,0,0,22,22,9,13,0.3,19,0,2.2,22.8,3333
7,2020,1,1,0,1,1,0.8,0.8,0,0,97,97,15,20,0.5,30,0,2.6,29.2,3333
8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,25.6,3333
9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,30.5,3333
10,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,29.2,3333
11,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,17.4,3333
12,2020,1,1,0,1,1,0.8,0.8,0,0,37,37,18,22,0.4,34,0,2.7,46.9,3333
13,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,42.8,3333
14,2020,2,2,0,2,391,316.7,198.5,0.62,0.97,212,230,35599,19949,414.2,30119,0,3.6,34.1,3333
15,2020,1,1,0,1,1,0.8,0.8,0,0,302,302,14,23,0.5,35,0,4.7,44.5,3333
16,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,18.3,3333
17,2020,2,2,1,1,3,2.4,1.6,0,0.67,147,207,198,107,2,166,1,3.5,43.2,3333
18,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,25.9,3333
19,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,22.5,3333
20,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,21.8,3333
21,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25.7,3333
22,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,25.2,3333
23,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,16.4,3333
24,2020,1,1,0,1,1,0.8,0.8,0,0,6,6,17,15,0.3,23,0,2.2,22.8,3333
25,2020,1,1,0,1,1,0.8,0.8,0,0,321,321,9,17,0.4,26,0,2.4,25.2,3333
26,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,16.4,3333
27,2020,1,1,0,1,8,6.5,6.5,0.38,1,157,157,1331,379,6.7,593,0,3.4,32.5,3333
28,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,16.4,3333
29,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,25.3,3333
30,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,38.2,3333
31,2020,1,1,1,0,1,0.8,0.8,0,0,239,239,23,35,0.8,52,0,3.6,28.5,3333
32,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,21.8,3333
33,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,25.9,3333
34,2020,2,2,0,2,2,1.6,0.8,0,0.5,175,321,44,59,1.2,89,1,1.9,16.6,3333
35,2020,2,2,0,2,3853,3120.9,3120.1,0.43,0.89,178,288,541074,343133,7454.9,512390,1,6.2,42.8,3333
36,2020,1,1,0,1,1,0.8,0.8,0,0,59,59,20,38,0.8,57,0,1.9,21.3,3333
37,2020,1,1,0,1,1,0.8,0.8,0,1,285,285,11,75,1.8,109,0,6.2,42.8,3333
38,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,29,3333
39,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.9,3333
40,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,21.8,3333
41,2017,3,3,1,2,7173,5810.1,4942.6,0.34,0.67,216,236,441312,388021,8150.4,584216,1,4.7,38.2,4444
42,2017,1,1,0,1,1,0.8,0.8,0,0,150,150,0,8,0.1,13,0,2.4,25.2,4444
43,2017,2,2,0,2,22,17.8,17,0.36,0.64,127,266,719,1096,26,1599,1,6.2,42.8,4444
44,2017,3,3,0,3,3,2.4,0.8,0,0,63,286,10,42,0.8,64,0,1.3,19.7,4444
45,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,18.3,4444
46,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,30.2,4444
47,2017,1,1,0,1,1,0.8,0.8,0,1,129,129,59,31,0.5,49,1,4.1,29,4444
