SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,seed
1,242,16.3,1,1,0,0,1,3333
1,243,19.2,0,0,0,0,1,3333
1,244,13.1,0,0,0,0,1,3333
1,245,13.6,0,0,0,0,1,3333
1,246,12.5,0,0,0,0,1,3333
1,247,19.3,0,0,0,0,1,3333
1,248,22.3,0,0,0,0,1,3333
1,249,20.9,0,0,0,0,1,3333
1,250,30.3,0,0,0,0,1,3333
1,251,43.2,0,0,0,0,1,3333
1,252,33,0,0,0,0,1,3333
1,253,25.1,0,0,0,0,1,3333
1,254,25.8,0,0,0,0,1,3333
1,255,23.7,0,0,0,0,1,3333
1,256,24.3,0,0,0,0,1,3333
1,257,24,0,0,0,0,1,3333
1,258,20.8,0,0,0,0,1,3333
1,259,22.2,0,0,0,0,1,3333
1,260,21.6,0,0,0,0,1,3333
1,261,20,0,0,0,0,1,3333
1,262,0.9,0,0,0,0,1,3333
2,186,5.4,0,0,1,1,0,3333
4,180,0.3,0,0,1,1,0,3333
4,230,4.3,0,0,1,1,0,3333
4,248,21.3,0,0,1,1,0,3333
5,351,1.9,0,0,1,1,0,3333
6,22,0.1,0,0,1,1,0,3333
7,97,0,0,0,1,1,0,3333
12,37,0,0,0,1,1,0,3333
14,212,22.3,0,0,1,1,1,3333
14,213,18.5,0,0,0,0,1,3333
14,214,23,0,0,0,0,1,3333
14,215,21.3,0,0,0,0,1,3333
14,216,10.1,0,0,0,0,1,3333
14,230,15.9,0,0,1,1,1,3333
14,231,17,0,0,0,0,1,3333
14,232,22.4,0,0,0,0,1,3333
14,233,20.5,0,0,0,0,1,3333
14,234,25.7,0,0,0,0,1,3333
14,235,34.1,0,0,0,0,1,3333
14,236,25.7,0,0,0,0,1,3333
14,237,8,0,0,0,0,1,3333
15,302,1.5,0,0,1,1,0,3333
17,147,0.2,1,1,0,0,0,3333
17,207,10.7,0,0,1,1,0,3333
24,6,0,0,0,1,1,0,3333
25,321,0.3,0,0,1,1,0,3333
27,157,14.7,0,0,1,1,1,3333
27,158,13.9,0,0,0,0,1,3333
27,159,15.6,0,0,0,0,1,3333
27,160,4.3,0,0,0,0,1,3333
31,239,7.5,1,1,0,0,0,3333
34,175,6.1,0,0,1,1,0,3333
34,321,0,0,0,1,1,0,3333
35,178,9.2,0,0,1,1,0,3333
35,288,41.1,0,0,1,1,1,3333
35,289,33.1,0,0,0,0,1,3333
35,290,29.7,0,0,0,0,1,3333
35,291,26.4,0,0,0,0,1,3333
35,292,28.9,0,0,0,0,1,3333
35,293,42.8,0,0,0,0,1,3333
35,294,25.3,0,0,0,0,1,3333
35,295,0.2,0,0,0,0,1,3333
36,59,0,0,0,1,1,0,3333
37,285,23.9,0,0,1,1,1,3333
41,216,34.9,1,1,0,0,1,4444
41,217,29.4,0,0,0,0,1,4444
41,218,26.3,0,0,0,0,1,4444
41,219,27.7,0,0,0,0,1,4444
41,220,26.5,0,0,0,0,1,4444
41,221,24.7,0,0,0,0,1,4444
41,222,27.7,0,0,0,0,1,4444
41,223,31.6,0,0,0,0,1,4444
41,224,29,0,0,0,0,1,4444
41,225,10.7,0,0,0,0,1,4444
41,234,17.3,0,0,1,1,0,4444
41,236,20.6,0,0,1,1,1,4444
41,237,16.7,0,0,0,0,1,4444
41,238,16.2,0,0,0,0,1,4444
41,239,20.2,0,0,0,0,1,4444
41,240,29,0,0,0,0,1,4444
41,241,31.3,0,0,0,0,1,4444
41,242,38.2,0,0,0,0,1,4444
41,243,31.2,0,0,0,0,1,4444
41,244,21.9,0,0,0,0,1,4444
41,245,21.9,0,0,0,0,1,4444
41,246,26.2,0,0,0,0,1,4444
41,247,34.7,0,0,0,0,1,4444
41,248,38.2,0,0,0,0,1,4444
41,249,31.6,0,0,0,0,1,4444
41,250,34.6,0,0,0,0,1,4444
41,251,21.3,0,0,0,0,1,4444
41,252,13.1,0,0,0,0,1,4444
41,253,5.1,0,0,0,0,1,4444
42,150,0.1,0,0,1,1,0,4444
43,127,0,0,0,1,1,0,4444
43,266,15.9,0,0,1,1,1,4444
43,267,14.9,0,0,0,0,1,4444
43,268,20.8,0,0,0,0,1,4444
43,269,27.2,0,0,0,0,1,4444
44,63,0,0,0,1,1,0,4444
44,228,10.9,0,0,1,1,1,4444
44,286,0,0,0,1,1,0,4444
47,129,2.3,0,0,1,1,0,4444
48,230,20.2,0,0,1,1,0,4444
49,306,0,0,0,1,1,0,4444
50,201,10.1,0,0,1,1,0,4444
56,245,1.3,0,0,1,1,0,4444
57,227,15.8,0,0,1,1,0,4444
60,139,5.2,0,0,1,1,1,4444
62,238,26.6,0,0,1,1,1,4444
62,239,22.6,0,0,0,0,1,4444
62,240,17.1,0,0,0,0,1,4444
62,241,17.7,0,0,0,0,1,4444
62,242,21.7,0,0,0,0,1,4444
62,243,30.1,0,0,0,0,1,4444
62,244,30.3,0,0,0,0,1,4444
62,245,30.2,0,0,0,0,1,4444
65,262,12.5,1,1,0,0,0,4444
66,235,14.6,0,0,1,1,0,4444
66,283,20.4,0,0,1,1,1,4444
66,284,26,0,0,0,0,1,4444
66,285,28.7,0,0,0,0,1,4444
66,286,19.7,0,0,0,0,1,4444
66,287,19.2,0,0,0,0,1,4444
66,288,22.7,0,0,0,0,1,4444
66,289,46.9,0,0,0,0,1,4444
66,290,0.3,0,0,0,0,1,4444
67,172,0,0,0,1,1,0,4444
68,285,29,0,0,1,1,1,4444
69,189,19.5,0,0,1,1,1,4444
70,198,9.2,0,0,1,1,1,4444
71,100,0.6,0,0,1,1,0,4444
76,201,11.4,0,0,1,1,0,4444
78,221,7.5,0,0,1,1,0,4444
80,271,0,0,0,1,1,0,4444
83,19,0,0,0,1,1,0,5555
83,182,4.8,0,0,1,1,0,5555
84,17,0,0,0,1,1,0,5555
84,233,27,0,0,1,1,1,5555
84,234,32.6,0,0,1,1,2,5555
84,235,29,0,0,0,0,2,5555
84,236,21.1,0,0,0,0,2,5555
84,237,16.3,0,0,0,0,2,5555
84,238,17.1,0,0,0,0,2,5555
84,239,19.9,0,0,0,0,2,5555
84,240,30.7,0,0,0,0,2,5555
84,241,44.5,0,0,0,0,2,5555
84,242,14.4,0,0,0,0,2,5555
84,243,7.9,0,0,0,0,1,5555
84,244,21.1,0,0,0,0,1,5555
84,245,24.2,0,0,0,0,1,5555
84,246,31,0,0,0,0,1,5555
84,247,32.3,0,0,0,0,1,5555
84,248,35.8,0,0,0,0,1,5555
84,249,35.8,0,0,0,0,1,5555
84,250,28.8,0,0,1,0,1,5555
84,251,28.4,0,0,0,0,1,5555
84,252,32.3,0,0,0,0,1,5555
84,253,17.1,0,0,0,0,1,5555
84,254,18.9,0,0,0,0,1,5555
84,255,24.8,0,0,0,0,1,5555
84,256,34.9,0,0,0,0,1,5555
84,257,17.5,0,0,0,0,1,5555
84,258,0.1,0,0,0,0,1,5555
86,278,0.1,0,0,1,1,0,5555
89,219,0,1,1,0,0,0,5555
90,195,16.1,0,0,1,1,0,5555
93,316,0,0,0,1,1,0,5555
97,37,0,0,0,1,1,0,5555
98,153,0,0,0,1,1,0,5555
99,148,4.5,0,0,1,1,0,5555
100,238,10.7,1,1,0,0,0,5555
103,149,10.2,1,1,0,0,0,5555
105,52,0,0,0,1,1,0,5555
109,281,23.7,0,0,1,1,1,5555
109,282,23.7,0,0,0,0,1,5555
109,283,36.8,0,0,0,0,1,5555
109,284,22.5,0,0,0,0,1,5555
109,285,23.9,0,0,0,0,1,5555
109,286,24.8,0,0,0,0,1,5555
109,287,28.6,0,0,0,0,1,5555
109,288,41.1,0,0,0,0,1,5555
109,289,33.1,0,0,0,0,1,5555
109,290,29.7,0,0,0,0,1,5555
109,291,26.4,0,0,0,0,1,5555
109,292,28.9,0,0,0,0,1,5555
109,293,42.8,0,0,0,0,1,5555
109,294,25.3,0,0,0,0,1,5555
109,295,0.2,0,0,0,0,1,5555
111,241,11.3,0,0,1,1,0,5555
118,54,0,0,0,1,1,0,5555
120,270,16.2,0,0,1,1,0,5555
126,250,7.8,0,0,1,1,0,6666
126,255,12.5,0,0,1,1,1,6666
135,84,0,0,0,1,1,0,6666
135,152,0,0,0,1,1,0,6666
137,75,0,0,0,1,1,0,6666
137,229,23.6,0,0,1,1,1,6666
137,230,4.9,0,0,0,0,1,6666
138,44,0,0,0,1,1,0,6666
138,324,0,1,1,0,0,0,6666
144,234,20.1,0,0,1,1,1,6666
144,235,17.2,0,0,0,0,1,6666
144,236,16.8,0,0,0,0,1,6666
144,237,20.2,0,0,0,0,1,6666
144,238,6.9,0,0,0,0,1,6666
146,362,0,0,0,1,0,0,6666
148,300,0,0,0,1,1,0,6666
150,219,19.1,0,0,1,1,1,6666
150,220,11.1,0,0,0,0,1,6666
151,101,0,0,0,1,1,0,6666
156,235,12.5,0,0,1,1,0,6666
158,245,30.2,1,1,0,0,0,6666
158,276,15,0,0,1,1,0,6666
