EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,seed
27,41,243,33.9,12.7,1039,2650.3,18.7,23944,yes,4444
27,41,244,22.8,6.8,213,2822.9,7.13,4728,yes,4444
27,41,245,23.3,7.1,82,2889.3,4.87,3132,yes,4444
27,41,246,28,9.6,206,3056.1,5.95,5736,yes,4444
27,41,247,37.6,14.7,622,3560,17.14,13681,yes,4444
27,41,248,40.7,16,536,3994.1,31.7,62847,yes,4444
27,41,249,32.4,11.9,207,4161.8,8.56,10193,yes,4444
27,41,250,37.7,14.8,875,4870.5,28.42,13266,yes,4444
27,41,251,24.7,7.8,85,4939.4,8.58,4213,yes,4444
27,41,252,15,2.6,4,4942.6,1.83,760,yes,4444
28,42,150,0.1,0,1,0.8,0,0,no,4444
29,43,127,0,0,1,0.8,0,0,no,4444
30,43,266,17,3.7,2,1.6,0.77,289,no,4444
30,43,268,20.8,5.7,1,2.4,0.67,282,yes,4444
30,43,269,27.4,9.2,7,8.1,5.93,5685,yes,4444
30,43,270,29.6,10.4,11,17,7.73,4188,yes,4444
31,44,63,0,0,1,0.8,0,0,no,4444
32,44,228,10.9,0,1,0.8,0,0,no,4444
33,44,286,0,0,1,0.8,0,0,no,4444
34,47,129,2.6,0,1,0.8,0,0,no,4444
35,48,230,21.6,6.2,1,0.8,0,0,no,4444
36,49,306,0,0,1,0.8,0,0,no,4444
37,50,201,8.4,0,1,0.8,0,0,no,4444
38,56,245,1.5,0,1,0.8,0,0,no,4444
39,57,227,14.5,2.3,1,0.8,0,0,no,4444
40,60,139,6.4,0,1,0.8,0,0,no,4444
41,62,238,29.5,10.4,26,21.1,6.26,5937,no,4444
41,62,239,23.7,7.3,19,36.5,2.37,1776,yes,4444
41,62,240,18.2,4.3,2,38.1,0.72,397,yes,4444
41,62,241,18.5,4.5,1,38.9,0.52,218,yes,4444
41,62,242,22.9,6.9,4,42.1,1.01,540,yes,4444
41,62,243,32,11.7,111,132,17.27,34928,yes,4444
41,62,244,32,11.7,45,168.5,8.95,17636,yes,4444
41,62,245,32,11.7,27,190.4,9.01,6658,yes,4444
41,62,246,34,12.8,13,200.9,6.04,4172,yes,4444
42,65,262,15.7,3,1,0.8,0,0,no,4444
43,66,235,17,3.7,1,0.8,0,0,no,4444
44,66,283,20.9,5.8,5,4.1,3.53,1809,no,4444
44,66,284,26.2,8.6,28,26.7,18.26,33845,yes,4444
44,66,285,30.5,10.9,114,119.1,37.72,80188,yes,4444
44,66,286,19.7,5.1,14,130.4,5.73,4924,yes,4444
44,66,287,20.3,5.4,17,144.2,5.56,5776,yes,4444
44,66,288,24.7,7.8,53,187.1,9.81,21618,yes,4444
44,66,289,51.3,16,469,567,60,127435,yes,4444
45,67,172,0,0,1,0.8,0,0,no,4444
46,68,285,28.2,9.7,1,0.8,0,0,no,4444
47,69,189,19.2,4.9,1,0.8,0,0,no,4444
48,70,198,9,0,1,0.8,0,0,no,4444
49,71,100,0.6,0,1,0.8,0,0,no,4444
50,76,201,12.1,1,1,0.8,0,0,no,4444
51,78,221,4.8,0,1,0.8,0,0,no,4444
52,80,271,0,0,1,0.8,0,0,no,4444
53,83,19,0,0,1,0.8,0,0,no,5555
54,83,182,5.2,0,1,0.8,0,0,no,5555
55,84,17,0,0,1,0.8,0,0,no,5555
56,84,233,27.5,9.3,19,15.4,5.78,5976,no,5555
56,84,234,29.4,10.3,147,134.5,9.85,11056,yes,5555
57,84,234,36.6,14.2,440,356.4,22.95,25426,no,5555
56,84,235,26.9,9,105,219.5,11.02,8793,yes,5555
57,84,235,33,12.2,241,551.6,18.85,22984,yes,5555
56,84,236,19.4,5,26,240.6,3.29,2950,yes,5555
57,84,236,23.7,7.3,152,674.7,9.3,6401,yes,5555
56,84,237,17.5,3.9,4,243.8,1.24,1045,yes,5555
57,84,237,16.7,3.5,7,680.4,1.9,1540,yes,5555
56,84,238,17.5,4,3,246.2,1.29,561,yes,5555
57,84,238,17.8,4.1,2,682,1.27,367,yes,5555
56,84,239,20.2,5.4,19,261.6,3.6,3781,yes,5555
57,84,239,19.4,4.9,8,688.5,1.54,543,yes,5555
56,84,240,30.7,11,126,363.7,9.83,10377,yes,5555
57,84,240,30,10.7,232,876.4,19.04,16366,yes,5555
56,84,241,42.7,16,473,746.8,38.92,49788,yes,5555
57,84,241,47.1,16,823,1543.1,40.88,50405,yes,5555
57,84,242,20.1,5.3,1,1543.9,1.8,887,yes,5555
57,84,244,20.9,5.7,37,1573.8,4.97,4712,yes,5555
57,84,245,27.1,9.1,163,1705.9,9.88,7957,yes,5555
57,84,246,32.6,12,271,1925.4,13.46,15795,yes,5555
57,84,247,32.8,12.1,331,2193.5,14.18,11241,yes,5555
57,84,248,38.8,15.4,853,2884.4,21.59,24845,yes,5555
57,84,249,39.7,15.8,752,3493.5,27.22,32398,yes,5555
57,84,250,31.4,11.4,121,3591.5,8.18,6625,yes,5555
57,84,251,30.6,11,87,3662,8.13,8263,yes,5555
57,84,252,36.3,14,193,3818.3,12.24,14597,yes,5555
57,84,253,18.1,4.3,6,3823.2,2.21,1017,yes,5555
57,84,254,19.4,5,16,3836.2,4.06,2309,yes,5555
57,84,255,26.8,8.9,63,3887.2,5.83,5705,yes,5555
57,84,256,36.6,14.2,484,4279.2,15.1,13234,yes,5555
57,84,257,26.6,8.8,32,4305.2,3.26,2756,yes,5555
58,86,278,0.2,0,1,0.8,0,0,no,5555
59,89,219,0,0,1,0.8,0,0,no,5555
60,90,195,13.3,1.7,1,0.8,0,0,no,5555
61,93,316,0,0,1,0.8,0,0,no,5555
62,97,37,0,0,1,0.8,0,0,no,5555
63,98,153,0,0,1,0.8,0,0,no,5555
64,99,148,1.3,0,1,0.8,0,0,no,5555
65,100,238,13.6,1.8,1,0.8,0,0,no,5555
66,103,149,10,0,1,0.8,0,0,no,5555
67,105,52,0,0,1,0.8,0,0,no,5555
68,109,281,24.8,7.9,1,0.8,0,0,no,5555
68,109,282,23.7,7.3,3,3.2,1.22,643,yes,5555
68,109,283,34.1,12.8,145,120.7,12.04,20761,yes,5555
68,109,284,21.8,6.3,66,174.2,2.5,2738,yes,5555
68,109,285,23.6,7.2,113,265.7,4.18,3729,yes,5555
68,109,286,23.8,7.3,126,367.7,4.76,5333,yes,5555
68,109,287,28.1,9.6,159,496.5,7.21,9210,yes,5555
68,109,288,38.1,15,657,1028.7,20.46,43478,yes,5555
68,109,289,32,11.7,140,1142.1,8.12,12764,yes,5555
68,109,290,29,10.1,112,1232.8,6.65,7112,yes,5555
68,109,291,24.2,7.5,92,1307.3,3.42,2447,yes,5555
68,109,292,25.7,8.3,117,1402.1,5.09,5789,yes,5555
68,109,293,36.2,13.9,901,2131.9,34.79,61047,yes,5555
68,109,294,27.8,9.5,93,2207.3,10.68,15524,yes,5555
69,111,241,12.9,1.5,1,0.8,0,0,no,5555
70,118,54,0,0,1,0.8,0,0,no,5555
71,120,270,15.9,3.1,1,0.8,0,0,no,5555
72,126,250,8,0,1,0.8,0,0,no,6666
73,126,255,10.8,0,1,0.8,0,0,no,6666
74,135,84,0,0,1,0.8,0,0,no,6666
75,135,152,0,0,1,0.8,0,0,no,6666
76,137,75,0,0,1,0.8,0,0,no,6666
77,137,229,34.8,13.2,131,106.1,16.72,31528,no,6666
78,138,44,0.1,0,1,0.8,0,0,no,6666
79,138,324,0,0,1,0.8,0,0,no,6666
80,144,234,21.7,6.2,86,69.7,6.07,8339,no,6666
80,144,235,18.2,4.3,54,113.4,5.43,6215,yes,6666
80,144,236,17.7,4,26,134.5,4.35,5151,yes,6666
80,144,237,20.6,5.6,49,174.2,7.64,4646,yes,6666
81,148,300,0,0,1,0.8,0,0,no,6666
82,150,219,17.6,4,2,1.6,2.17,2357,no,6666
83,151,101,0,0,1,0.8,0,0,no,6666
84,156,235,12.3,1.2,1,0.8,0,0,no,6666
85,158,245,32.9,12.2,1,0.8,0,0,no,6666
86,158,276,18.4,4.4,1,0.8,0,0,no,6666
