EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,seed
1,1,242,18.6,4.5,15,12.2,5.32,2985,no,3333
1,1,243,22.4,6.6,75,72.9,7.31,6360,yes,3333
1,1,244,16.2,3.2,20,89.1,2.85,1840,yes,3333
1,1,245,16.9,3.6,28,111.8,3.19,2091,yes,3333
1,1,246,14.4,2.3,11,120.7,2.86,1217,yes,3333
1,1,247,22,6.4,103,204.1,5.78,4207,yes,3333
1,1,248,25.6,8.3,243,401,9.21,7099,yes,3333
1,1,249,23.9,7.4,183,549.2,10.05,5961,yes,3333
1,1,250,35.2,13.4,497,951.8,17.1,17337,yes,3333
1,1,251,47,16,206,1118.6,36.99,81156,yes,3333
1,1,252,35.3,13.5,203,1283,24.59,45112,yes,3333
1,1,253,26.6,8.8,121,1381.1,8.35,5617,yes,3333
1,1,254,28.3,9.7,287,1613.5,13.52,7472,yes,3333
1,1,255,26.2,8.6,124,1714,6.2,8130,yes,3333
1,1,256,27.4,9.2,264,1927.8,8.6,9132,yes,3333
1,1,257,27.2,9.1,257,2136,9.4,9885,yes,3333
1,1,258,23.7,7.3,65,2188.6,3.62,2519,yes,3333
1,1,259,25.6,8.3,98,2268,6.28,3376,yes,3333
1,1,260,24.7,7.8,72,2326.3,5,2798,yes,3333
1,1,261,23.8,7.3,56,2371.7,10.03,7753,yes,3333
2,2,186,4.9,0,1,0.8,0,0,no,3333
3,4,180,0.4,0,1,0.8,0,0,no,3333
4,4,230,5.7,0,1,0.8,0,0,no,3333
5,4,248,23.1,7,1,0.8,0,0,no,3333
6,5,351,1.7,0,1,0.8,0,0,no,3333
7,6,22,0.1,0,1,0.8,0,0,no,3333
8,7,97,0,0,1,0.8,0,0,no,3333
9,12,37,0,0,1,0.8,0,0,no,3333
10,14,212,27,9,9,7.3,5,3623,no,3333
10,14,213,27.6,9.4,46,44.6,8.8,6149,yes,3333
10,14,214,29.2,10.2,52,86.7,11.85,17895,yes,3333
10,14,215,31.8,11.6,39,118.3,9.66,15179,yes,3333
11,14,230,17.6,4,3,2.4,2.01,1096,no,3333
11,14,231,18.6,4.5,3,4.9,1.82,1228,yes,3333
11,14,232,24.3,7.6,27,26.7,7.42,5034,yes,3333
11,14,233,21.8,6.3,4,30,4.21,2469,yes,3333
11,14,234,25.2,8.1,4,33.2,4.54,2938,yes,3333
11,14,235,37.9,14.9,156,159.6,21.52,39196,yes,3333
11,14,236,30.9,11.1,48,198.5,13.9,24364,yes,3333
12,15,302,1,0,1,0.8,0,0,no,3333
13,17,147,0.3,0,1,0.8,0,0,no,3333
14,17,207,13.2,1.6,2,1.6,1.51,1203,no,3333
15,24,6,0,0,1,0.8,0,0,no,3333
16,25,321,0.3,0,1,0.8,0,0,no,3333
17,27,157,13.6,1.9,2,1.6,3.33,4528,no,3333
17,27,158,13.2,1.6,1,2.4,2.99,685,yes,3333
17,27,159,14.9,2.5,5,6.5,5.94,6889,yes,3333
18,31,239,8.4,0,1,0.8,0,0,no,3333
19,34,175,5.4,0,1,0.8,0,0,no,3333
20,34,321,0,0,1,0.8,0,0,no,3333
21,35,178,9.3,0,1,0.8,0,0,no,3333
22,35,288,40.7,16,526,426.1,21.22,53340,no,3333
22,35,289,34.9,13.3,790,1066,22.55,47286,yes,3333
22,35,290,30.8,11,330,1333.3,8.11,12902,yes,3333
22,35,291,26.7,8.9,125,1434.5,4.16,5158,yes,3333
22,35,292,28.1,9.6,183,1582.7,5.66,7919,yes,3333
22,35,293,41.1,16,1570,2854.4,47.05,80469,yes,3333
22,35,294,22.8,6.8,328,3120.1,17.2,28591,yes,3333
23,36,59,0,0,1,0.8,0,0,no,3333
24,37,285,22.5,6.6,1,0.8,0,0,no,3333
25,41,216,34.5,13.1,327,264.9,19.84,26456,no,4444
25,41,217,28.5,9.9,122,363.7,9.9,7120,yes,4444
25,41,218,24.8,7.9,57,409.9,4.59,4167,yes,4444
25,41,219,25.8,8.4,78,473,8.56,7331,yes,4444
25,41,220,24.6,7.7,46,510.3,7.33,5324,yes,4444
25,41,221,23.5,7.1,48,549.2,6.11,4614,yes,4444
25,41,222,26.9,9,93,624.5,6.35,4468,yes,4444
25,41,223,30.4,10.9,178,768.7,11.84,14371,yes,4444
25,41,224,27.5,9.3,121,866.7,11.13,10682,yes,4444
26,41,234,18,4.2,1,0.8,0,0,no,4444
27,41,236,23,6.9,103,83.4,7.81,7557,no,4444
27,41,237,17.8,4.1,32,109.4,3.05,2407,yes,4444
27,41,238,16.9,3.7,25,129.6,3.01,1710,yes,4444
27,41,239,21.7,6.2,66,183.1,5.28,2906,yes,4444
27,41,240,30.6,11,360,474.7,10.06,9385,yes,4444
27,41,241,33.5,12.5,376,779.2,13.99,11980,yes,4444
27,41,242,41,16,1271,1808.7,43.64,85419,yes,4444
