statistic,value,label
ignition_attempts_per_year,0.55,pass4_pooled
fires_per_attempt,0.977272727272727,pass4_pooled
days_active_median,1,pass4_pooled
days_active_p90,9,pass4_pooled
days_active_max,26,pass4_pooled
mean_ros_median_m_min,0,pass4_pooled
max_ros_p90_m_min,18.555,pass4_pooled
mean_intensity_median_kW_m,0,pass4_pooled
max_intensity_p90_kW_m,33228,pass4_pooled
fraction_cells_passive_crown,0.730636006639407,pass4_pooled
fraction_cells_active_crown,0.0287393222946439,pass4_pooled
canopy_mortality_mean,0.408419902028258,pass4_pooled
cells_per_fire_day_median,19,pass4_pooled
cells_per_fire_day_p90,330.2,pass4_pooled
burn_hours_median,6.4,pass4_pooled
ignition_fwi_median,6.05,pass4_pooled
end_weather,0.244186046511628,pass4_pooled
end_fuel_limited,0,pass4_pooled
end_season_end,0,pass4_pooled
