SimulationYear,Day,FireDanger,LightningAttempts,LightningFires,AccidentalAttempts,AccidentalFires,ActiveFires,
3, 154, 5.4, 0, 0, 1, 1, 0, 
4, 219, 19.1, 1, 1, 0, 0, 0, 
7, 235, 19, 1, 1, 0, 0, 0, 
8, 257, 9.2, 0, 0, 1, 1, 0, 
9, 229, 23.6, 1, 1, 0, 0, 1, 
9, 230, 30.5, 0, 0, 0, 0, 1, 
13, 246, 35.8, 1, 1, 0, 0, 1, 
13, 247, 19, 0, 0, 0, 0, 1, 
13, 248, 17.1, 0, 0, 0, 0, 1, 
13, 279, 29.1, 0, 0, 1, 1, 1, 
13, 286, 24.8, 1, 1, 0, 0, 1, 
19, 155, 1.5, 0, 0, 1, 1, 0, 
20, 215, 18.7, 1, 1, 0, 0, 1, 
20, 266, 6, 0, 0, 1, 1, 0, 
23, 276, 4.8, 0, 0, 1, 1, 0, 
27, 235, 17.2, 0, 0, 1, 1, 0, 
30, 222, 27.7, 0, 0, 1, 1, 1, 
30, 223, 31.6, 0, 0, 0, 0, 1, 
30, 224, 29, 0, 0, 0, 0, 1, 
31, 231, 20.8, 0, 0, 1, 1, 1, 
34, 261, 10.7, 0, 0, 1, 1, 0, 
35, 214, 24.2, 0, 0, 1, 1, 1, 
35, 215, 25.9, 0, 0, 0, 0, 1, 
35, 216, 25.1, 0, 0, 0, 0, 1, 
35, 217, 12.6, 0, 0, 0, 0, 1, 
35, 239, 27.1, 0, 0, 1, 1, 1, 
35, 285, 23.9, 0, 0, 1, 1, 0, 
35, 290, 29.7, 0, 0, 1, 1, 0, 
35, 293, 42.8, 0, 0, 1, 1, 0, 
37, 233, 12.9, 0, 0, 1, 1, 0, 
