EventID,SimulationYear,Day,FWI,BurnHours,CellsBurned,CumulativeAreaHa,MaxRos,MaxIntensity,Suppressed,
1, 3, 154, 5.9, 0, 1, 0.8, 0, 0, no, 
2, 4, 219, 15.2, 2.7, 10, 8.1, 4.54, 5924, no, 
3, 7, 235, 16.1, 3.2, 1, 0.8, 0, 0, no, 
4, 8, 257, 11.1, 0, 1, 0.8, 0, 0, no, 
5, 9, 229, 21.3, 6, 38, 30.8, 16.06, 25738, no, 
5, 9, 230, 27.2, 9.2, 306, 278.6, 38.47, 58931, yes, 
6, 13, 246, 40.5, 16, 101, 81.8, 32.28, 39322, no, 
6, 13, 247, 22.2, 6.4, 6, 86.7, 3.64, 3201, yes, 
6, 13, 249, 17.4, 3.9, 1, 87.5, 0.45, 228, yes, 
7, 13, 279, 29.7, 10.5, 18, 14.6, 6.09, 6908, no, 
7, 13, 280, 27.3, 9.2, 72, 72.9, 8.74, 9568, yes, 
8, 13, 286, 24.6, 7.7, 67, 54.3, 4.79, 6170, no, 
8, 13, 287, 28.1, 9.6, 163, 186.3, 7.96, 9121, yes, 
9, 19, 155, 0.4, 0, 1, 0.8, 0, 0, no, 
10, 20, 215, 21.6, 6.1, 77, 62.4, 26.28, 47003, no, 
10, 20, 216, 14.9, 2.6, 20, 78.6, 6.75, 6612, yes, 
11, 20, 266, 9.8, 0, 1, 0.8, 0, 0, no, 
12, 23, 276, 5.5, 0, 1, 0.8, 0, 0, no, 
13, 27, 235, 18.4, 4.4, 6, 4.9, 1.91, 2197, no, 
14, 30, 222, 26.9, 9, 69, 55.9, 11.52, 18440, no, 
14, 30, 223, 30.6, 11, 259, 265.7, 26.01, 44993, yes, 
14, 30, 224, 25.1, 8, 299, 507.9, 13.68, 21649, yes, 
15, 31, 231, 16.9, 3.6, 39, 31.6, 13.16, 26244, no, 
16, 34, 261, 10.4, 0, 1, 0.8, 0, 0, no, 
17, 35, 214, 24.5, 7.7, 36, 29.2, 10.48, 11330, no, 
17, 35, 215, 24.9, 7.9, 68, 84.2, 14.54, 24411, yes, 
17, 35, 216, 27.4, 9.3, 193, 240.6, 14.77, 32698, yes, 
18, 35, 239, 33.7, 12.6, 29, 23.5, 8.71, 10520, no, 
18, 35, 240, 16.5, 3.4, 8, 30, 1.75, 2330, yes, 
19, 35, 285, 22.3, 6.5, 1, 0.8, 0, 0, no, 
20, 35, 290, 29.4, 10.3, 4, 3.2, 1.49, 1284, no, 
21, 35, 293, 39.5, 15.7, 1, 0.8, 0, 0, no, 
22, 37, 233, 18.6, 4.6, 5, 4.1, 2.14, 1638, no, 
