SimulationYear,CalendarYear,IgnitionAttempts,Fires,LightningFires,AccidentalFires,CellsBurned,AreaBurnedHa,LargestFireHa,FractionHighSeverity,FractionCrownFire,FirstFireDay,LastFireDay,BiomassKilledMg,ConsumptionMg,PM25Mg,CO2Mg,FiresContained,MeanFWI,MaxFWI,
1, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5, 43.2, 
2, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 21.8, 
3, 2020, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 1, 154, 154, 20, 25, 0.5, 37, 1, 6.5, 32.5, 
4, 2020, 1, 1, 1, 0, 10, 8.1, 8.1, 0.4, 1, 219, 219, 927, 460, 9, 705, 1, 5.3, 26.5, 
5, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 25.3, 
6, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22.8, 
7, 2020, 1, 1, 1, 0, 1, 0.8, 0.8, 0, 0, 235, 235, 0, 19, 0.5, 28, 1, 4.7, 29.2, 
8, 2020, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 1, 257, 257, 7, 29, 0.7, 43, 1, 3.1, 25.6, 
9, 2020, 1, 1, 1, 0, 344, 278.6, 278.6, 0.72, 1, 229, 229, 47048, 18109, 343, 27906, 1, 4.5, 30.5, 
10, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7, 29.2, 
11, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 17.4, 
12, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1, 46.9, 
13, 2020, 3, 3, 2, 1, 428, 346.7, 186.3, 0.44, 0.87, 246, 286, 35790, 27099, 587.4, 40490, 3, 11.8, 42.8, 
14, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8, 34.1, 
15, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1, 44.5, 
16, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 18.3, 
17, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5, 43.2, 
18, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7, 25.9, 
19, 2020, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 155, 155, 25, 21, 0.5, 32, 0, 3.7, 22.5, 
20, 2020, 2, 2, 1, 1, 98, 79.4, 78.6, 0.51, 0.98, 215, 266, 13701, 5164, 95.3, 8000, 1, 4.6, 21.8, 
21, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9, 25.7, 
22, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
23, 2020, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 276, 276, 11, 29, 0.7, 43, 0, 4, 16.4, 
24, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22.8, 
25, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4, 25.2, 
26, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16.4, 
27, 2020, 1, 1, 0, 1, 6, 4.9, 4.9, 0, 1, 235, 235, 218, 512, 11.2, 763, 1, 6.5, 32.5, 
28, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16.4, 
29, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 25.3, 
30, 2020, 1, 1, 0, 1, 627, 507.9, 507.9, 0.54, 0.91, 222, 222, 94133, 36445, 713.7, 55762, 1, 9.2, 38.2, 
31, 2020, 1, 1, 0, 1, 39, 31.6, 31.6, 0.67, 0.97, 231, 231, 5411, 1972, 36, 3062, 1, 6.8, 28.5, 
32, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 21.8, 
33, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7, 25.9, 
34, 2020, 1, 1, 0, 1, 1, 0.8, 0.8, 0, 0, 261, 261, 9, 60, 1.4, 88, 1, 3.7, 16.6, 
35, 2020, 5, 5, 0, 5, 340, 275.4, 240.6, 0.47, 0.94, 214, 293, 45382, 17805, 346.5, 27279, 4, 11.8, 42.8, 
36, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 21.3, 
37, 2020, 1, 1, 0, 1, 5, 4.1, 4.1, 0, 1, 233, 233, 213, 229, 4.9, 344, 1, 11.8, 42.8, 
38, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9, 29, 
39, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 19.9, 
40, 2020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, 21.8, 
