statistic,value,label
ignition_attempts_per_year,0.55,pass6_s3333
fires_per_attempt,1,pass6_s3333
days_active_median,1,pass6_s3333
days_active_p90,3.9,pass6_s3333
days_active_max,5,pass6_s3333
mean_ros_median_m_min,1.935,pass6_s3333
max_ros_p90_m_min,26.253,pass6_s3333
mean_intensity_median_kW_m,1207,pass6_s3333
max_intensity_p90_kW_m,44425.9,pass6_s3333
fraction_cells_passive_crown,0.875055176037835,pass6_s3333
fraction_cells_active_crown,0.0567209668943773,pass6_s3333
canopy_mortality_mean,0.581093011035208,pass6_s3333
cells_per_fire_day_median,18,pass6_s3333
cells_per_fire_day_p90,187,pass6_s3333
burn_hours_median,6.4,pass6_s3333
ignition_fwi_median,19.95,pass6_s3333
end_weather,0.0454545454545455,pass6_s3333
end_fuel_limited,0,pass6_s3333
end_season_end,0,pass6_s3333
