statistic,value_scf,value_ember,ratio,label
years,80,40,0.5,pass6_s3333
active_cells,9346,9346,1,pass6_s3333
cells_per_year_mean,78.2125,47.575,0.608278727824836,pass6_s3333
cells_per_year_median,0,0,,pass6_s3333
cells_per_year_p90,59.8000000000002,122.2,2.04347826086956,pass6_s3333
cells_per_year_max,1328,627,0.472138554216867,pass6_s3333
fraction_years_with_fire,0.3875,0.375,0.967741935483871,pass6_s3333
annual_fraction_burned,0.00836855339182538,0.00509041301091376,0.608278727824836,pass6_s3333
rotation_years,119.494965638485,196.447714135575,1.64398318444561,pass6_s3333
fires_per_year,0.4875,0.55,1.12820512820513,pass6_s3333
fire_size_median,12,5.5,0.458333333333333,pass6_s3333
fire_size_p90,621.400000000001,290.3,0.467170904409398,pass6_s3333
fire_size_max,1283,627,0.488698363211224,pass6_s3333
fraction_fires_gt10,0.512820512820513,0.409090909090909,0.797727272727273,pass6_s3333
fraction_fires_gt100,0.17948717948718,0.227272727272727,1.26623376623376,pass6_s3333
